product,field,platform,location,homepage,establish_time,round,project_status,status,tags,description,contact,leadership,logo_url,url,company_name,brief_intro
睿玺定制,生活消费,平台：其他,坐标：上海市,官网：www.riches-sh.com,成立时间：不详,"A+轮,6000万,人民币,融资完成",立即认领,运营状态：正在运营,电子商务,睿玺是一个服装定制品牌整体解决方案领导者，自主研发了的三维虚拟定制系统，为高端定制服装行业提供优质、专业、持续的创新型虚拟服务。随时可见，让定制结果提前可视，从面料到样板只需不到一分钟时间，快速确认定制，为个性化定制业态提供服务。,,,http://pic2.pedaily.cn/17/newseed/project/201711/20171120132415799.jpg,http://www.newseed.cn/project/61758,上海睿玺知信信息科技有限公司,睿玺是一个服装定制品牌整体解决方案领导者，自主研发了的三维虚拟定制系统，为高端定制服装行业提供优质、专业、持续的创新型虚拟服务。随时可见，让定制结果提前可视，从面料到样板只需不到一分钟时间，快速确认定制，为个性化定制业态提供服务。
小绿人/ 绿色星球,汽车交通,平台：其他,坐标：深圳市,官网：www.xlvren.com,成立时间：不详,"A+轮,8000万,人民币,融资完成",立即认领,运营状态：正在运营,汽车后服务,小绿人是一家电动自行车充电服务运营商，结合互联网+智能硬件+电动汽车和绿色能源O2O理念，致力于构建智能互联充电网络，打造电动出行方式，为众多城市的电动汽车车主提供充电服务，实现充电设备与手机等移动端的无缝衔接和智联能源分布式供给，深圳市绿色星球互联新能源科技有限公司旗下。,,,http://pic2.pedaily.cn/17/newseed/project/201710/20171026173146312.jpg,http://www.newseed.cn/project/61446,深圳市绿色星球互联新能源科技有限公司,小绿人是一家电动自行车充电服务运营商，结合互联网+智能硬件+电动汽车和绿色能源O2O理念，致力于构建智能互联充电网络，打造电动出行方式，为众多城市的电动汽车车主提供充电服务，实现充电设备与手机等移动端的无缝衔接和智联能源分布式供给，深圳市绿色星球互联新能源科技有限公司旗下。
麦爱文化,文化娱乐,平台：其他,坐标：北京市,官网：www.maimusic.cn,成立时间：不详,"A+轮,金额未透露,融资完成",立即认领,运营状态：正在运营,音乐,麦爱文化是一家文化娱乐公司，公司主要业务包括版权运营、艺人经纪、音乐演出和电音教学培训四大板块。旗下品牌有娱乐性大型电子音乐节“幻境HYPER”、室外专业性大型音乐节“INTRO”等。,,,http://pic2.pedaily.cn/17/newseed/project/201710/20171023182359644.jpg,http://www.newseed.cn/project/61397,北京麦爱文化传播有限公司,麦爱文化是一家文化娱乐公司，公司主要业务包括版权运营、艺人经纪、音乐演出和电音教学培训四大板块。旗下品牌有娱乐性大型电子音乐节“幻境HYPER”、室外专业性大型音乐节“INTRO”等。
大健康流量入口——场景+大数据运营商,信息技术,平台：硬件,坐标：广州市,官网：www.toufange.com,成立时间：2016-03-31,"A+轮,6000万,人民币,需要融资",约谈,运营状态：不详,移动互联网互联网大数据健康保健医疗信息化,广东投放易科技公司专注大健康流量入口“医院场景+大数据”的应用服务体系；目前是中国最大的医院流量入口运营商。与广东省卫计委签订了25年的独家合作协议，2017年上半年在广东省近800家各类医院（覆盖广东省所有二甲以上的医院）的门诊、科室等人群密集处铺设数字化终端设备（有两项专利技术），2017年10月份已将资源拓展到湖南、安徽、江苏、广西、浙江。目前已跟17个省市医院达成协议），年累计触达影响计10亿+。现需要融资铺设全国重点医院的终端设备。,金相玉质,,http://www.newseed.cn/upload2/project/logo/201710/26114921507.jpg,http://www.newseed.cn/project/61431,N/A,
深睿医疗,医疗健康,平台：其他,坐标：北京市,官网：www.deepwise.com,成立时间：不详,"A+轮,金额未透露,融资完成",立即认领,运营状态：正在运营,医疗信息化,深睿医疗是一家人工智能医疗应用开发商，主要涵盖医疗影像图像识别、各种恶性疾病的早期筛查、精确诊断解决方案等领域，并与多家国内顶级的医疗机构保持长期科研合作。,,,http://pic2.pedaily.cn/17/newseed/project/201711/20171113144251670.jpg,http://www.newseed.cn/project/61675,北京深睿博联科技有限责任公司,深睿医疗是一家人工智能医疗应用开发商，主要涵盖医疗影像图像识别、各种恶性疾病的早期筛查、精确诊断解决方案等领域，并与多家国内顶级的医疗机构保持长期科研合作。
深瞐科技,企业服务,平台：其他,坐标：北京市,官网：www.seemmo.com,成立时间：不详,"A+轮,金额未透露,融资完成",立即认领,运营状态：正在运营,行业及技术解决方案,深瞐科技是一家专注于计算机视觉，人工智能，机器视觉等领域的科技公司，在全球首家提出“车脸”识别技术，利用深度学习技术推出业界领先的“车脸”识别，视频结构化等系列产品，已广泛的应用于公共安防、海关等领域。,,,http://pic2.pedaily.cn/17/newseed/project/201711/20171117162501321.jpg,http://www.newseed.cn/project/61729,北京深瞐科技有限公司,深瞐科技是一家专注于计算机视觉，人工智能，机器视觉等领域的科技公司，在全球首家提出“车脸”识别技术，利用深度学习技术推出业界领先的“车脸”识别，视频结构化等系列产品，已广泛的应用于公共安防、海关等领域。
速珂智能,硬件,平台：硬件,坐标：上海市,官网：www.supersoco.com,成立时间：不详,"A+轮,金额未透露,融资完成",立即认领,运营状态：正在运营,智能家居,速珂智能是一家专注于新能源二轮交通工具研发制造销售的创新型科技企业，致力于为全球创造颠覆性的新能源二轮交通工具，用极客精神做产品提供完美用户出行体验，让每个人都能享受到优质产品带来的出行乐趣。,,,http://pic2.pedaily.cn/17/newseed/project/201710/20171023173550899.jpg,http://www.newseed.cn/project/61390,速珂智能科技（上海）有限公司,速珂智能是一家专注于新能源二轮交通工具研发制造销售的创新型科技企业，致力于为全球创造颠覆性的新能源二轮交通工具，用极客精神做产品提供完美用户出行体验，让每个人都能享受到优质产品带来的出行乐趣。
博思廷科技,企业服务,平台：其他,坐标：北京市,官网：不详,成立时间：不详,"A+轮,3000万,人民币,融资完成",立即认领,运营状态：正在运营,行业及技术解决方案,博思廷科技是一家智能视频分析服务商，主要依靠视频分析技术进行人工智能图像识别，业务覆盖智能安防、智能交通、智能消防、智能管理等领域，其中，又以智能安防为重点。,,,http://pic2.pedaily.cn/17/newseed/project/201711/20171109171608383.jpg,http://www.newseed.cn/project/61630,北京博思廷科技有限公司,博思廷科技是一家智能视频分析服务商，主要依靠视频分析技术进行人工智能图像识别，业务覆盖智能安防、智能交通、智能消防、智能管理等领域，其中，又以智能安防为重点。
大众侃车	/ 车汇网络,文化娱乐,平台：其他,坐标：北京市,官网：www.dazhongkanche.com,成立时间：2014-07,"A+轮,金额未透露,融资完成",立即认领,运营状态：正在运营,媒体,大众侃车是一家新成立的汽车垂直类资讯网站，专注为买车用户提供专业、简单、有价值的购车参考。北京车汇网络科技有限公司旗下产品。,,,http://pic2.pedaily.cn/17/newseed/project/201708/20170822220814483.jpg,http://www.newseed.cn/project/60604,北京车汇网络科技有限公司,北京车汇网络科技有限公司成立于2014年7月，主要面向汽车厂商及4S店开发PC端和手机端的系统及应用，以帮助汽车厂商及经销网络更好地服务车主。公司旗下的汇车网（www.huiche.com）是在线租车网站，致力于打造基于汽车使用分享经济理论的网上租车市场。汇车网通过商业模式与经营理念，为用户提供区别于传统方式的在线汽车租赁服务。
农村新零售－乐村淘,企业服务,平台：移动应用,坐标：北京市,官网：www.lecuntao.com,成立时间：2016-04-22,"A+轮,金额未透露,融资完成",约谈,运营状态：正在运营,互联网电子商务消费金融,乐村淘是一家专注农村消费市场的电商平台，其模式主要将村镇的小卖部改造升级为便利店，给村镇夫妻店提供商品、管理系统、金融业务等相关服务支持。,新芽网友742672,,http://pic2.pedaily.cn/17/newseed/project/201706/20170623160355370.png,http://www.newseed.cn/project/57620,N/A,
