product,field,platform,location,homepage,establish_time,round,project_status,status,tags,description,contact,leadership,logo_url,url,company_name,brief_intro
爱医康,医疗健康,平台：其他,坐标：杭州市,官网：aek56.com,成立时间：不详,"A轮,金额未透露,融资完成",立即认领,运营状态：正在运营,健康保健,"爱医康是一家专业从事医用耗材物流标准建立及信息管理的高新技术企业,致力于通过提供高品质的服务平台，为医疗机构、企业解决医用耗材物流及信息管理中遇到的各种难以处理的问题，为医疗机构、企业提供全方位医用耗材信息服务。隶属于杭州爱怡康科技有限公司。",,,http://pic2.pedaily.cn/17/newseed/project/201712/20171218221312650.jpg,http://www.newseed.cn/project/62120,杭州爱怡康科技有限公司,"爱医康是一家专业从事医用耗材物流标准建立及信息管理的高新技术企业,致力于通过提供高品质的服务平台，为医疗机构、企业解决医用耗材物流及信息管理中遇到的各种难以处理的问题，为医疗机构、企业提供全方位医用耗材信息服务。隶属于杭州爱怡康科技有限公司。"
医视云,医疗健康,平台：其他,坐标：北京市,官网：www.arkenvmc.com,成立时间：不详,"A轮,金额未透露,融资完成",立即认领,运营状态：正在运营,医疗信息化,医视云是一家远程医疗教育服务平台，以医院科室为核心，通过互联网云平台为各地医院科室提供手术直播观摩、远程影像访问、病理讨论、医学交流研讨及高清实时互动等服务，并且可基于用户要求，为用户个性化定制解决方案。,,,http://pic2.pedaily.cn/17/newseed/project/201712/20171218155356442.png,http://www.newseed.cn/project/62115,阿肯医视云网络信息（北京）有限公司,医视云是一家远程医疗教育服务平台，以医院科室为核心，通过互联网云平台为各地医院科室提供手术直播观摩、远程影像访问、病理讨论、医学交流研讨及高清实时互动等服务，并且可基于用户要求，为用户个性化定制解决方案。
中农网/好伙计,企业服务,平台：其他,坐标：深圳市,官网：www.ap-ec.cn,成立时间：不详,"A轮,金额未透露,融资完成",立即认领,运营状态：正在运营,行业及技术解决方案,中农网-好伙计商城是一家餐饮企业管理服务提供商，专注于为餐饮企业提供管理服务。,,,http://pic2.pedaily.cn/17/201712/20171218@305746.png,http://www.newseed.cn/project/62116,深圳市好伙计科技有限公司,中农网-好伙计商城是一家餐饮企业管理服务提供商，专注于为餐饮企业提供管理服务。
感控工作间/ 德雅曼达科技,医疗健康,平台：其他,坐标：湖南省,官网：www.gkgzj.com,成立时间：不详,"A轮,1000万,人民币,融资完成",立即认领,运营状态：正在运营,医疗信息化,感控工作间是一个互联网+感染预防与医患安全的第三方服务平台，专注于提升医疗机构医院感染整体防控效率。隶属于湖南德雅曼达科技有限公司。,,,http://pic2.pedaily.cn/17/newseed/project/201711/20171117154826706.jpg,http://www.newseed.cn/project/61728,湖南德雅曼达科技有限公司,感控工作间是一个互联网+感染预防与医患安全的第三方服务平台，专注于提升医疗机构医院感染整体防控效率。隶属于湖南德雅曼达科技有限公司。
灿星制作(灿星文化),文化娱乐,平台：其他,坐标：北京市,官网：weibo.com/3025895921/about,成立时间：不详,"A轮,金额未透露,融资完成",立即认领,运营状态：正在运营,影视,灿星制作是一家专业娱乐节目制作公司，旗下节目包括《中国达人秀》《舞林大会》《中国好声音》《中国好歌曲》《出彩中国人》《中国好舞蹈》等，隶属于上海灿星文化传播有限公司。,,,http://pic2.pedaily.cn/17/newseed/project/201712/20171218223843509.jpg,http://www.newseed.cn/project/62122,北京微梦创科网络技术有限公司,新浪微博（http://weibo.com）是一个基于用户关系的信息分享、传播以及获取的社交网络平台。用户通过WEB、WAP以及各种客户端等形式，在新浪微博平台上以不超过140个字的文字更新信息，实现即时分享与社交。
生纳科技,医疗健康,平台：其他,坐标：上海市,官网：sunnatech.com,成立时间：不详,"A轮,2000万,人民币,融资完成",立即认领,运营状态：正在运营,医疗器材,生纳科技是一家小口径人工血管研发商，专注于静电纺丝、心血管和再生医学等细分领域，并利用人工血管的纳米纤维技术制作了抗霾口罩。,,,http://pic2.pedaily.cn/17/newseed/project/201711/20171114114345155.jpg,http://www.newseed.cn/project/61685,生纳科技（上海）有限公司,生纳科技是一家小口径人工血管研发商，专注于静电纺丝、心血管和再生医学等细分领域，并利用人工血管的纳米纤维技术制作了抗霾口罩。
厚朴金控融资,房产金融,平台：移动应用,坐标：北京市,官网：不详,成立时间：2013-08-08,"A轮,2亿,人民币,需要融资",约谈,运营状态：不详,移动互联网大数据互联网金融,业务定位于围绕核心企业、电商等供应链，通过大数据、云计算和互联网技术，以核心企业的应付账款和中小企业应收账款为核心标的，为中小企业提供股权投资、贸易融资、信用担保、低风险高收益理财等综合金融服务；为上市公司提供市值管理、资产出表、产业并购、上下游供应链融资、财务优化等全方位创新金融服务。,pipigou,,http://www.newseed.cn/upload2/project/logo/201710/23155817918.jpg,http://www.newseed.cn/project/61387,N/A,
棒客,游戏体育,平台：其他,坐标：深圳市,官网：www.bestkit.com,成立时间：不详,"A轮,金额未透露,融资完成",立即认领,运营状态：正在运营,兴趣社区,棒客是一家链接产品与用户的互联网平台，拥有科技达人产品故事分享平台《达人说》、用户分享平台《发现分享》、提供最新鲜、最优质的产品信息库平台《棒品百科》，同时提供话题、评测、吐槽、专题等各类资讯信息分享平台。,,,http://pic2.pedaily.cn/17/newseed/project/201712/20171215164333282.jpg,http://www.newseed.cn/project/62088,深圳市棒客科技文化咨询有限公司,棒客是一家链接产品与用户的互联网平台，拥有科技达人产品故事分享平台《达人说》、用户分享平台《发现分享》、提供最新鲜、最优质的产品信息库平台《棒品百科》，同时提供话题、评测、吐槽、专题等各类资讯信息分享平台。
Vingt Ans,生活消费,平台：其他,坐标：深圳市,官网：不详,成立时间：不详,"A轮,金额未透露,融资完成",立即认领,运营状态：正在运营,美业/服装电子商务,VingtAns（VA）是一家整合潮流配饰，集合服装周边搭配为一体的时尚品牌，以韩国的潮流艺术作为原型融入到VA的产品设计中，致力为潮人营造一个完全时尚的个性空间。,,,http://pic2.pedaily.cn/17/newseed/project/201710/20171012175822790.jpg,http://www.newseed.cn/project/61287,深圳市廿岁贸易有限公司,Vingt Ans（VA） 是一家整合潮流配饰，集合服装周边搭配为一体的时尚品牌，以韩国的潮流艺术作为原型融入到VA的产品设计中，致力为潮人营造一个完全时尚的个性空间。
潭州教育,教育培训,"平台：移动应用,WEB",坐标：长沙市,官网：www.tanzhoujiaoyu.com,成立时间：2015-08-10,"A轮,7500万,人民币,需要融资",约谈,运营状态：正在运营,移动互联网大数据兴趣教育职业培训K12,潭州教育是一家专做在线职业教育的平台公司，成立于2007年，2015年正式入驻湖南长沙高新区芯城科技园，办公场地近13000平米，教职员工1000多名。公司今年3月在北京设立子公司北京睿思博考教育科技有限公司，专注于K12教育。公司创始人周有贵先生是国内建立SEO、网络营销、淘宝体系课程创造互联网特色化在线教育授课方法（被在线教育行业广泛应用）的先驱者。公司现已拥有＂潭州教育＂在线教育课程平台。自主研发平台课程PC、手机客户端。目前潭州教育平台共开设300多门课程，在潭州学习的学员已突破1100万人次，学员覆盖中国，加拿大，日本，美国，韩国等地。,优优,周有贵董事长李湘宁联合创始人周蔚执行总裁,http://pic2.pedaily.cn/17/newseed/project/201710/20171013164418902.jpg,http://www.newseed.cn/project/58987,N/A,
中渡科技,游戏体育,平台：其他,坐标：北京市,官网：www.zoomdu.com,成立时间：不详,"A轮,金额未透露,融资完成",立即认领,运营状态：正在运营,旅游综合服务,中渡科技是一家提供全链条旅游服务的公司。该公司致力于改变传统旅游模式，创建一个移动旅游的共享平台。提供有解决策略创建智能化旅游生态，包括私人定制导游、决策咨询服务、旅游中介等服务。,,,http://pic2.pedaily.cn/17/newseed/project/201711/20171121131858761.jpg,http://www.newseed.cn/project/61796,北京市中渡互联网科技有限公司,中渡科技是一家提供全链条旅游服务的公司。该公司致力于改变传统旅游模式，创建一个移动旅游的共享平台。提供有解决策略创建智能化旅游生态，包括私人定制导游、决策咨询服务、旅游中介等服务。
VGEN智能视讯投影,硬件,平台：硬件,坐标：北京市,官网：www.vgen.com.cn,成立时间：2017-04-20,"A轮,5000万,人民币,需要融资",约谈,运营状态：不详,消费电子智能家居,维鸽智能科技(宁波)有限公司，成立于2016年4月份，是一家致力于影像通讯解决方案的高科技创新公司，总部位于浙江省宁波杭州湾新区滨海四路262号103室。维鸽智能提出“影像通讯+人工智能”的发展战略，专注于智能影像通讯技术，在以机器人为载体、互联网为依托、影像通讯为内容的新型模式下，将最先进的LED光源和激光源融入到影像通讯中，给终端用户提供即时、高清、大屏的视觉体验，为未来的三网融合奠定基础。,ch372,,http://www.newseed.cn/upload2/project/logo/201710/12173958261.jpg,http://www.newseed.cn/project/61285,N/A,
中娱传媒,文化娱乐,平台：其他,坐标：深圳市,官网：www.zy126.com,成立时间：不详,"A轮,5000万,人民币,融资完成",立即认领,运营状态：正在运营,直播视频,中娱传媒是一家专注于集互动直播、娱乐直播、在线陪玩等多业务发展的综合型直播经纪公司。,,,http://pic2.pedaily.cn/17/newseed/project/201710/20171020141603204.jpg,http://www.newseed.cn/project/61362,中娱传媒有限公司,中娱传媒是一家专注于集互动直播、娱乐直播、在线陪玩等多业务发展的综合型直播经纪公司。
7Nujoom中东达人秀/ 裂变科技,文化娱乐,平台：,坐标：北京市,官网：www.7nujoom.com,成立时间：不详,"A轮,1.05亿,人民币,融资完成",立即认领,运营状态：正在运营,视频,7Nujoom中东达人秀（裂变直播）是一家主打中东国家的才艺展示app，全天候为您提供所有类型的现场才艺展示节目，涵盖唱歌、跳舞、魔术表演、脱口秀节目。,,,http://pic2.pedaily.cn/17/newseed/project/201709/20170918185550429.jpg,http://www.newseed.cn/project/61028,北京裂变科技有限公司,7Nujoom中东达人秀（裂变直播）是一家主打中东国家的才艺展示app，全天候为您提供所有类型的现场才艺展示节目，涵盖唱歌、跳舞、魔术表演、脱口秀节目。
新舟教育,教育培训,"平台：WEB,移动应用",坐标：上海市,官网：www.xinzhoujy.com,成立时间：不详,"A轮,金额未透露,融资完成",立即认领,运营状态：正在运营,K12,新舟教育是一家课外培优机构，致力于为沪上学子提供4—18岁的一站式全科教学服务，专注于幼儿及中小学培训领域，并根据学员的不同需求开设了四大业务模块：启延学堂、小学培优、中学冲刺、尚精一对一。,,,http://pic2.pedaily.cn/17/newseed/project/201709/20170919155314263.jpg,http://www.newseed.cn/project/61039,上海新舟教育培训有限公司,新舟教育是一家课外培优机构，致力于为沪上学子提供4—18岁的一站式全科教学服务，专注于幼儿及中小学培训领域，并根据学员的不同需求开设了四大业务模块：启延学堂、小学培优、中学冲刺、尚精一对一。
云脑科技,信息技术,平台：其他,坐标：杭州市,官网：www.cloudbrain.ai,成立时间：2016-12-20,A轮,立即认领,运营状态：正在运营,人工智能行业及技术解决方案,,,,http://pic2.pedaily.cn/17/newseed/project/201707/20170719151743614.png,http://www.newseed.cn/project/58847,杭州云脑科技有限公司,云脑科技（CloudBrain）成立于2015年，是一家跨越中美两地的人工智能行业解决方案公司，团队成员来自Microsoft、Google、Facebook、Qualcomm、阿里巴巴、中国电信等企业，在深度学习（RNN/CNN）、增强学习、NLP、知识图谱领域均拥有大规模项目成功实践经验。
攸度传媒,房产金融,平台：其他,坐标：北京市,官网：www.udomedia.com.cn,成立时间：2006-11-03,"A轮,6300万,人民币,融资完成",立即认领,运营状态：正在运营,互联网消费金融,,,,http://pic2.pedaily.cn/17/newseed/project/201707/20170712135227927.png,http://www.newseed.cn/project/58830,北京攸度传媒广告有限公司,攸度传媒2006年起步于金融行业的数字整合营销服务，2014年开始专注于金融互联网领域的移动金融精准营销。
东阳曼荼罗影视,文化娱乐,平台：其他,坐标：浙江省,官网：不详,成立时间：2016-06-30,"A轮,2亿,人民币,融资完成",立即认领,运营状态：正在运营,影视,东阳曼荼罗是一家影视娱乐公司，主要从事电视剧、电影、综艺、娱乐整合化营销业务等业务，包括影视剧、综艺、经纪casting三大业务板块。,,,http://pic2.pedaily.cn/17/newseed/project/201707/20170717092146472.jpg,http://www.newseed.cn/project/58895,东阳曼荼罗影视文化有限公司,东阳曼荼罗是一家影视娱乐公司，主要从事电视剧、电影、综艺、娱乐整合化营销业务等业务，包括影视剧、综艺、经纪casting三大业务板块。
聚胜财富,房产金融,平台：其他,坐标：上海市,官网：www.jushengcaifu.com,成立时间：2013-05-08,"A轮,金额未透露,融资完成",立即认领,运营状态：正在运营,金融科技,,,,http://pic2.pedaily.cn/17/newseed/project/201707/20170714145248713.png,http://www.newseed.cn/project/58876,上海聚胜投资管理有限公司,上海聚胜投资管理有限公司 (聚胜财富)，是一家国资控股互联网金融信息平台。控股股东为浙江风洲实业发展有限公司（国有独资）拥有聚胜股份70%，上海中和世纪工贸有限公司拥有聚胜股份30%，公司实缴注册资金3亿元人民币。
