product,field,platform,location,homepage,establish_time,round,project_status,status,tags,description,contact,leadership,logo_url,url,company_name,brief_intro
旺集科技,生活消费,平台：其他,坐标：厦门市,官网：www.wangjigroup.com,成立时间：不详,"B轮,金额未透露,融资完成",立即认领,运营状态：正在运营,电子商务,旺集科技成立于2014年，由厦门国际商会、厦门网商协会副会长林思明先生发起成立，是第一家为国内跨境电商提供俄罗斯海外仓储配送及对俄营销服务的科技公司，解决对俄跨境电商的清关、仓配、营销、售后、支付等一系列刚性痛点。,,,http://pic2.pedaily.cn/17/201712/20171218@305710.jpg,http://www.newseed.cn/project/62111,厦门旺集信息科技有限公司,厦门旺集信息科技有限公司总部设于俄罗斯莫斯科，下设五家全资子公司，中国区域办公室分别位于厦门留学生创业园创业大厦、厦门软件园一期创新大厦，公司引进并推向市场的UMKA商城不仅为广大电商增加俄罗斯市场的线上销售渠道，减轻海外库存压力，也为亿万俄罗斯网民提供优质商品、安全支付、及时派送、专业客服等高标准购物体验。
排队网,企业服务,"平台：WEB,硬件,其他,移动应用",坐标：深圳市,官网：www.paidui.com,成立时间：2011-11-28,"B轮,5000万,人民币,需要融资",约谈,运营状态：不详,移动互联网大数据人工智能O2O/本地生活互联网餐饮,深圳排队网络技术有限公司（简称排队网）成立于2011年，是国内领先的在线餐饮SaaS服务商，专注餐饮会员营销，致力于打造餐饮营销服务平台。排队网与全国500多家机构建立合作关系，通过聚食汇·智慧云、聚食汇·移动POS、聚食汇·会员营销和聚食汇·供应链等产品，为30000多餐饮商家提供餐厅经营管理、会员营销、供应链管理等“节流+开源”式服务。实现多渠道会员转化，打通线上线下建立会员大数据库，深入分析描绘会员画像，通过智能营销平台，智能匹配100+营销方案，自动进行个性化会员精准营销，实现会员回流二次消费，提升复购率。,德安,江浩南CEO郑德安副总裁陈祥鹏副总裁曾红艳副总裁陈远大数据研究院院长,http://www.newseed.cn/upload2/project/logo/201711/29165048533.jpg,http://www.newseed.cn/project/61889,N/A,
燕文物流,物流,平台：其他,坐标：北京市,官网：www.yw56.com.cn,成立时间：不详,"B轮,金额未透露,融资完成",立即认领,运营状态：正在运营,仓储物流,燕文物流是一家致力于电子商务物流供应链服务的专业化服务提供商，提供包括中邮小包、EMS、香港DHL、燕文专线等国际快递服务咨询服务，以及仓储保管业务咨询服务。,,,http://pic2.pedaily.cn/17/newseed/project/201711/20171130154155868.jpg,http://www.newseed.cn/project/61904,北京燕文物流有限公司,燕文物流是一家致力于电子商务物流供应链服务的专业化服务提供商，提供包括中邮小包、EMS、香港DHL、燕文专线等国际快递服务咨询服务，以及仓储保管业务咨询服务。
DiaCarta帝基生物,医疗健康,平台：其他,坐标：南京市,官网：www.diacartacn.com,成立时间：不详,"B轮,3亿,人民币,融资完成",立即认领,运营状态：正在运营,健康保健,DiaCarta帝基生物是一家分子诊断服务提供商，建立了三个分子诊断的精准检测技术平台，并利用自身的技术平台，开发出了一系列高灵敏度和特异性的商业化分子诊断产品。,,,http://pic2.pedaily.cn/17/newseed/project/201711/20171120190359728.jpg,http://www.newseed.cn/project/61788,南京帝基生物科技有限公司,DiaCarta帝基生物是一家分子诊断服务提供商，建立了三个分子诊断的精准检测技术平台，并利用自身的技术平台，开发出了一系列高灵敏度和特异性的商业化分子诊断产品。
明亚保险经纪,生活消费,平台：其他,坐标：北京市,官网：不详,成立时间：2004-11-29,"B轮,5亿,人民币,需要融资",约谈,运营状态：不详,消费金融,明亚保险经纪定增,Newdream,,http://www.newseed.cn/upload2/project/logo/201711/29104418236.jpg,http://www.newseed.cn/project/61881,N/A,
环球优学,教育培训,平台：其他,坐标：北京市,官网：www.hqyxjy.com,成立时间：不详,"B轮,金额未透露,融资完成",立即认领,运营状态：正在运营,K12,环球优学是一个致力于使广大的中小学学生实现真正意义上的个性化教育的企业，公司通过聚集了大量海内外优秀教育人士，整合全国各地教育资源，为全国各地的中小学生提供一个更加个性化的教育环境。,,,http://pic2.pedaily.cn/17/newseed/project/201712/20171212113325863.jpg,http://www.newseed.cn/project/62023,环球优学（北京）教育咨询有限公司,环球优学是一个致力于使广大的中小学学生实现真正意义上的个性化教育的企业，公司通过聚集了大量海内外优秀教育人士，整合全国各地教育资源，为全国各地的中小学生提供一个更加个性化的教育环境。
踏浪者,生活消费,平台：WEB,坐标：北京市,官网：cn.tidebuy.com,成立时间：不详,"B轮,2亿,人民币,融资完成",立即认领,运营状态：正在运营,电子商务,踏浪者是一家面向全球市场的国际B2C电子商务贸易平台，专注于对供应商提供的产品进行准确定位和推广，结合管理完善的供应链体系和高效的国际物流服务。北京踏浪者科技有限公司旗下产品。,,,http://pic2.pedaily.cn/newseed/project/201703/20170302130824888.jpg,http://www.newseed.cn/project/55986,北京踏浪者科技有限公司,踏浪者是一家面向全球市场的国际B2C电子商务贸易平台，专注于对供应商提供的产品进行准确定位和推广，结合管理完善的供应链体系和高效的国际物流服务。北京踏浪者科技有限公司旗下产品。
凯立特医疗,医疗健康,平台：硬件,坐标：浙江省,官网：www.poctechcorp.com,成立时间：不详,"B轮,1亿,人民币,融资完成",立即认领,运营状态：正在运营,生物技术健康保健,凯立特医疗是一家医疗健康公司，致力于研发、生产、营销以高端生物传感器为核心技术的医用便携式监测系统：动态血糖监测（CGM）、血气及电解质、以及其它医用现场测试产品。,,,http://pic2.pedaily.cn/17/newseed/project/201704/20170414165747145.jpg,http://www.newseed.cn/project/56530,浙江凯立特医疗器械有限公司,凯立特医疗是一家医疗健康公司，致力于研发、生产、营销以高端生物传感器为核心技术的医用便携式监测系统：动态血糖监测（CGM）、血气及电解质、以及其它医用现场测试产品。
来画视频,文化娱乐,平台：WEB,坐标：深圳市,官网：www.laihua.com,成立时间：不详,"B轮,金额未透露,融资完成",立即认领,运营状态：正在运营,视频,来画视频是一家专注于手绘视频创意及平台开发、手绘视频定制、创客教育的互联网公司，是中国乃至亚洲手绘视频领域内的开创者与领导者。来画拥有高端定制业务，在不到两年时间，已为政府、海内外近千家互联网领域名企、教育机构服务，如微软、阿里、京东、华为、腾讯、平安等。中国市场上，大概90％的手绘视频都与来画有关。,,,http://pic2.pedaily.cn/17/newseed/project/201712/20171211141605789.jpg,http://www.newseed.cn/project/62008,深圳前海手绘科技文化有限公司,来画视频是一家专注于手绘视频创意及平台开发、手绘视频定制、创客教育的互联网公司，是中国乃至亚洲手绘视频领域内的开创者与领导者。来画拥有高端定制业务，在不到两年时间，已为政府、海内外近千家互联网领域名企、教育机构服务，如微软、阿里、京东、华为、腾讯、平安等。中国市场上，大概90％的手绘视频都与来画有关。
中驰车福,生活消费,平台：其他,坐标：北京市,官网：www.autozi.com,成立时间：2010-06-02,"B轮,5000万,人民币,需要融资",约谈,运营状态：正在运营,二手车汽车后服务O2O/本地生活汽车电商买卖租赁公共出行互联网电子商务,“中驰车福联合电子商务（北京）有限公司”成立于2010年，总部位于北京。中驰车福电商是集互联网技术开发、应用、网上商城平台、汽车数据平台、供应链云平台于一体的综合化垂直类服务平台。该平台是依托互联网云技术，建立从零部件生产企业到汽修企业、汽修企业到车主及增值服务集合的B2B2C+O2O垂直类行业平台，利用创新的商业模式及互联网思维，为汽修企业提供“一站式”的维修配件采购平台，同时为车主提供包含维修保养、汽车救援、新车销售、车险销售理赔、汽车租赁、二手车等业务在内的全方位、一站式的车主服务。中驰车福平台承载配件供应厂商、汽车服务终端与车主之间行业公共“供应链服务平台”。这是一个借助,王东旭,,http://newseed.pedaily.cn/upload/project/logo/201704/20091851877.jpg,http://www.newseed.cn/project/57593,N/A,
升哲科技,硬件,平台：硬件,坐标：北京市,官网：www.sensoro.com,成立时间：不详,"B轮,1800万,美元,融资完成",立即认领,运营状态：正在运营,芯片游戏硬件,升哲科技是一家硬件公司，主要专注于基于无线传感器数据收集，以及信息网络信标设备生产等业务，为全球智能城市环境监测和资产项目追踪提供物联网服务。,,,http://pic2.pedaily.cn/17/newseed/project/201704/20170426175924846.jpg,http://www.newseed.cn/project/57687,北京升哲科技有限公司,升哲科技是一家硬件公司，主要专注于基于无线传感器数据收集，以及信息网络信标设备生产等业务，为全球智能城市环境监测和资产项目追踪提供 物联网服务 。
店达商城,信息技术,平台：其他,坐标：上海市,官网：www.dd528.com/login,成立时间：2014-07-28,"B轮,8000万,人民币,融资完成",立即认领,运营状态：正在运营,互联网电子商务,店达商城是面向2-4线城市便利店的电商平台，解决了小店供应链中间层级多、价格不透明、供货来源分散、服务能力弱等痛点，为小店提供供应链服务。同时为品牌商、传统经销商提供标准化同城统仓统配服务。,,,http://pic2.pedaily.cn/17/newseed/project/201705/20170508114005714.png,http://www.newseed.cn/project/57822,上海店达信息技术有限公司,店达商城是面向2-4线城市便利店的电商平台，解决了小店供应链中间层级多、价格不透明、供货来源分散、服务能力弱等痛点，为小店提供供应链服务。同时为品牌商、传统经销商提供标准化同城统仓统配服务。
Live.me,文化娱乐,平台：其他,坐标：北京市,官网：www.liveme.com,成立时间：不详,"B轮,5000万,美元,融资完成",立即认领,运营状态：正在运营,视频游戏硬件直播,Live.me是猎豹移动旗下主打海外市场的移动直播服务商，支持主播演艺、游戏直播等，隶属于北京猎豹移动科技有限公司。,,,http://pic2.pedaily.cn/17/newseed/project/201705/20170502155207616.png,http://www.newseed.cn/project/57744,北京猎豹移动科技有限公司,猎豹移动公司（Cheetah Mobile Inc. NYSE:CMCM），原名金山网络， 于2010年10月由金山安全和可牛影像公司合并而成，继承了金山多年的安全技术积累和可牛影像的互联网基因。
