product,field,platform,location,homepage,establish_time,round,project_status,status,tags,description,contact,leadership,logo_url,url,company_name,brief_intro
博恩登特,医疗健康,"平台：硬件,其他",坐标：上海市,官网：www.bondent.net,成立时间：不详,"C轮,金额未透露,融资完成",立即认领,运营状态：正在运营,医疗器材,博恩登特是一家口腔医疗整体化解决方案提供商。经营范围包括口腔医疗设备的设计研发、生产制造、推广销售。以及口腔医疗技能临床培训。,,,http://pic2.pedaily.cn/17/newseed/project/201709/20170925183152253.jpg,http://www.newseed.cn/project/61121,上海博恩登特科技有限公司,博恩登特是一家口腔医疗整体化解决方案提供商。经营范围包括口腔医疗设备的设计研发、生产制造、推广销售。以及口腔医疗技能临床培训。
再鼎医药,医疗健康,平台：其他,坐标：上海市,官网：不详,成立时间：2014-01-06,"C轮,3000万,美元,融资完成",立即认领,运营状态：正在运营,医疗信息化生物技术医药,,,,http://pic2.pedaily.cn/17/newseed/project/201706/20170630130005334.png,http://www.newseed.cn/project/58603,再鼎医药（上海）有限公司,再鼎医药是一家致力于研究、开发和销售创新药物的制药企业，专注于通过与全球顶级医药公司、生物技术公司、临床医生和顶级实验室建立紧密合作关系，丰富产品线。
思岚科技,硬件,"平台：硬件,其他",坐标：上海市,官网：www.slamtec.com,成立时间：2013-10-30,"C轮,1.5亿,人民币,融资完成",立即认领,运营状态：正在运营,互联网,,,,http://pic2.pedaily.cn/17/newseed/project/201707/20170712092350391.png,http://www.newseed.cn/project/58820,上海思岚科技有限公司,上海思岚科技有限公司(SLAMTEC) 位于上海张江，拥有长达6年的机器人自主定位导航算法、激光传感器及机器人硬件系统的研发经验。
全贴合4.0纳米触摸黑板,硬件,平台：硬件,坐标：上海市,官网：www.fnbell.com,成立时间：2017-03-01,"C轮,6000万,人民币,需要融资",约谈,运营状态：正在运营,消费电子,我公司是一家上股交E板挂牌（峰宁股份100391）的公司，是专业从事商用显示器的生产销售的上海高新技术企业，服务的客户包括万达影院全国连锁显示屏、百家好\EP\NIKE等，最新推出纳米智能黑板，是把传统的黑板与电子白板完美融合在一起。通过纳米触摸技术，关屏时是普通黑板，能写普通粉笔、白板笔等，开屏时，能直接触摸（WINDOWS\安卓）都可以。是智慧教育（教室）不可缺少的新的一种黑板产品，市场反响非常好，单个学校的采购量就达到300万以上。,新芽网友760672,,http://newseed.pedaily.cn/upload/project/logo/201706/13151938832.jpg,http://www.newseed.cn/project/58322,N/A,
维信金科	/ 上海维信荟智金融,房产金融,平台：其他,坐标：上海市,官网：www.vcredit.com,成立时间：不详,"C轮,金额未透露,融资完成",立即认领,运营状态：正在运营,互联网金融,上海维信荟智金融科技有限公司是一家专注于个人消费信贷行业、以智能金融服务为主体的综合性创新型企业，致力于通过智能手机，为用户提供智能化、全自动化的个人消费金融服务。,,,http://pic2.pedaily.cn/17/newseed/project/201710/20171017142817196.jpg,http://www.newseed.cn/project/61320,上海维信荟智金融科技有限公司,上海维信荟智金融科技有限公司是一家专注于个人消费信贷行业、以智能金融服务为主体的综合性创新型企业，致力于通过智能手机，为用户提供智能化、全自动化的个人消费金融服务。
海致BDP,信息技术,平台：WEB,坐标：北京市,官网：www.bdp.cn,成立时间：不详,"C轮,3000万,美元,融资完成",约谈,运营状态：正在运营,互联网,海致BDP由海致网络技术（北京）有限公司出品，已经为来自互联网、零售快消、制造业、金融、医疗等多个行业的3000多家企业提供了一站式的数据管理和分析平台。在BDP中，企业可以一键完成数据整合，建立统一数据口径，并让企业通过直观、多维、实时的方式分析和展示数据，同时可以在移动端实时查看和分享，便于企业相关人员能够随时随地了解与掌握数据状态，全面激活企业内部数据，从而更合理、高效的进行资源的优化和配置，帮助企业将数据物尽其用，真正实现数据驱动管理，提升经营绩效。,Queeta,郑巧慧员工,http://www.newseed.cn/upload2/project/logo/201707/28181846605.jpg,http://www.newseed.cn/project/48937,海致网络技术（北京）有限公司,海致网络技术（北京）有限公司是目前国内领先的大数据技术与服务公司，自成立以来已经为三千多家企业提供了大数据咨询、大数据平台搭建、数据清洗、数据整合、数据挖掘、可视化数据分析等服务。其中包括招商银行、兰州银行、中国联通、华联超市、雀巢中国、康佳集团、蒙牛集团、伊利乳业、百度外卖、58到家等国际国内知名企业。
果小美,生活消费,平台：其他,坐标：成都市,官网：guoxiaomei.cn,成立时间：不详,"C轮,5000万,美元,融资完成",立即认领,运营状态：正在运营,O2O/本地生活,果小美网络是一个办公室无人零售便利店，致力于通过技术手段实现24小时无人值守，不仅销售饮料零食、日用百货、应急非处方药等商品，还能实现快递收发、复印打印、便民支付等功能，为用户提供全面的便利服务。,,,http://pic2.pedaily.cn/17/newseed/project/201711/20171101172908143.jpg,http://www.newseed.cn/project/61541,成都果小美网络科技有限公司,果小美网络是一个办公室无人零售便利店，致力于通过技术手段实现24小时无人值守，不仅销售饮料零食、日用百货、应急非处方药等商品，还能实现快递收发、复印打印、便民支付等功能，为用户提供全面的便利服务。
图森未来	/ TuSimple,汽车交通,平台：其他,坐标：北京市,官网：www.tusimple.com,成立时间：不详,"C轮,5500万,美元,融资完成",立即认领,运营状态：正在运营,车联网,北京图森未来科技有限公司是一家专注于自动驾驶货运卡车技术研发与应用的人工智能创业企业。公司成立于2015年9月，在中国的北京市、河北省唐山市，美国加州圣迭戈市、亚利桑那州图森市等多地设有研发中心，核心技术团队来自加州理工学院、卡内基梅隆大学、南洋理工大学、早稻田大学、香港科技大学等全球顶尖院校。,,,http://pic2.pedaily.cn/17/newseed/project/201711/20171121134515610.jpg,http://www.newseed.cn/project/61798,北京图森未来科技有限责任公司,北京图森未来科技有限公司是一家专注于自动驾驶货运卡车技术研发与应用的人工智能创业企业。公司成立于2015年9月，在中国的北京市、河北省唐山市，美国加州圣迭戈市、亚利桑那州图森市等多地设有研发中心，核心技术团队来自加州理工学院、卡内基梅隆大学、南洋理工大学、早稻田大学、香港科技大学等全球顶尖院校。
朗润医疗,医疗健康,平台：其他,坐标：苏州市,官网：www.lonwin.org,成立时间：不详,"C轮,金额未透露,融资完成",立即认领,运营状态：正在运营,医疗器材,苏州朗润是一个医疗互联网平台，专业从事医用影像设备及软件的研发、生产、维护和服务，专注于磁共振产品与技术创新，旗下拥有国产医用超导MRI产品SuperVan,,,http://pic2.pedaily.cn/17/newseed/project/201712/20171212110054745.jpg,http://www.newseed.cn/project/62021,苏州朗润医疗系统有限公司,苏州朗润是一个医疗互联网平台，专业从事医用影像设备及软件的研发、生产、维护和服务，专注于磁共振产品与技术创新，旗下拥有国产医用超导MRI产品SuperVan
衣二三,信息技术,平台：WEB,坐标：北京市,官网：不详,成立时间：2015-01-13,"C轮,5000万,美元,融资完成",约谈,运营状态：正在运营,互联网,衣二三是北京尚世骁众科技有限公司旗下的互联网共享衣橱产品，主打定位为都市白领的互联网衣橱共享平台，主要业务为“包月换穿”，会员以499的价格就可以体验每次三件，每月不限次换穿的服务。“衣二三”作为国内订阅式包月换穿APP，在同类时装租借类平台中独家启用全球买手制。合作的品牌包括MichaelKors，Kenzo等轻奢品牌，还和国内外独立设计师签订官方合作，致力于让自己的买手团队在全球搜寻潮流新锐。“衣二三”已完成由IDG资本领投，真格基金、清流资本、金沙江创投跟投的千万美元级A+轮融资。此前，衣二三还曾获得过来自金沙江创投和滴滴天使投资人王刚的数百万美元A轮融资。,新芽网友687997,,http://newseed.pedaily.cn/upload/fund/project/logo/201608/58b82eb3-45ce-4a85-821e-e099e841f88d.jpg,http://www.newseed.cn/project/53134,北京尚世骁众科技有限公司,衣二三事时尚服饰租赁共享平台，基于对共享经济和女性消费市场的趋势洞察，大胆描摹了新的未来生活方式和创新商业模式。团队由资深时尚媒体人、女性消费类电商运营人、互联网产品技术专家、营销快手组成。创始人有10多年互联网＋媒体＋时尚行业的跨界积累，有深厚的行业资源。
