product,field,platform,location,homepage,establish_time,round,project_status,status,tags,description,contact,leadership,logo_url,url,company_name,brief_intro
宝宝树,社交,平台：WEB,坐标：北京市,官网：www.babytree.com,成立时间：不详,"D轮,3亿,美元,融资完成",立即认领,运营状态：正在运营,,"宝宝树是国内专业的育儿社区平台,通过为备孕、孕期及0-6岁婴幼儿父母提供高质量、多类型线上线下服务,搭建全方位平台,先后开发宝宝树孕育和小时光及宝宝树美囤妈妈两三款手机应用,让父母们进行有价值的经验分享及育儿学习,来满足多层次、全方位、适应时代进步育儿需求。",,,http://pic2.pedaily.cn/newseed/project/201607/20160719141347487.jpg,http://www.newseed.cn/project/52354,北京众鸣世纪科技有限公司,宝宝树是一个垂直母婴网站，用户在这里可以进行有价值的经验分享，得到愉快的育儿成长体验，此外宝宝树还开发了多款智能硬件。北京众鸣世纪科技有限公司旗下。
Retty,生活消费,平台：WEB,坐标：日本,官网：retty.me,成立时间：不详,"D轮,1050万,美元,融资完成",立即认领,运营状态：正在运营,,日本社交餐厅评论服务平台Retty允许用户对餐厅饭店进行评级和评论，同时作为一个社交美食评论网站，用户还可以在Facebook上与好友分享你评论的餐厅。不仅如此，如果你是一个美食专家，那么还可以使用Retty创建个性化餐厅列表，方便其他人访问。可以说，使用Retty寻找心仪的餐厅吃饭会变得异常简单。,,,http://pic2.pedaily.cn/newseed/project/201608/20160801113329165.jpg,http://www.newseed.cn/project/52658,Retty,日本社交餐厅评论服务平台Retty允许用户对餐厅饭店进行评级和评论，同时作为一个社交美食评论网站，用户还可以在Facebook上与好友分享你评论的餐厅。不仅如此，如果你是一个美食专家，那么还可以使用Retty创建个性化餐厅列表，方便其他人访问。可以说，使用 Retty 寻找心仪的餐厅吃饭会变得异常简单。
Kin Community,文化娱乐,平台：WEB,坐标：美国,官网：www.kincommunity.com,成立时间：2011,"D轮,1350万,美元,融资完成",立即认领,运营状态：正在运营,视频家装图像视频健康保健,KinCommunity成立于2011年，位于加利福尼亚州，是一家针对女性的多频道网络公司，KinCommunity主要与有影响力的女性和线上内容生产者合作，通过生产与女性生活方式相关的高质量内容（目前以视频为主）将女性紧密地联系起来，并相互鼓励，让大家拥有更好的生活。目前，KinCommunity是YouTube上排名第一的女性多频道网络公司，创作内容主要覆盖美食、健康、美妆、育儿、家装和娱乐。,,,http://pic2.pedaily.cn/newseed/project/201607/20160704093736429.jpg,http://www.newseed.cn/project/51885,Kin Community,Kin Community 成立于2011年，位于加利福尼亚州，是一家针对女性的多频道网络公司，Kin Community 主要与有影响力的女性和线上内容生产者合作，通过生产与女性生活方式相关的高质量内容（目前以视频为主）将女性紧密地联系起来，并相互鼓励，让大家拥有更好的生活。目前，Kin Community 是 YouTube 上排名第一的女性多频道网络公司，创作内容主要覆盖美食、健康、美妆、育儿、家装和娱乐。
长风药业,医疗健康,平台：其他,坐标：苏州市,官网：www.cfpharmtech.com,成立时间：2013-01,"D轮,4.4亿,人民币,融资完成",立即认领,运营状态：正在运营,医药,长风药业是一家吸入制剂药物研发商，专注吸入给药技术开发，集研发、生产、销售为一体，研发产品涉及哮喘、慢性阻塞性肺病（COPD）以及过敏性鼻炎等多个临床需求大的治疗领域。,,,http://pic2.pedaily.cn/17/newseed/project/201708/20170829195639474.jpg,http://www.newseed.cn/project/60746,长风药业股份有限公司,长风药业是一家吸入制剂药物研发商，专注吸入给药技术开发，集研发、生产、销售为一体，研发产品涉及哮喘、慢性阻塞性肺病（COPD）以及过敏性鼻炎等多个临床需求大的治疗领域。
松力生物,医疗健康,平台：其他,坐标：上海市,官网：www.shsongli.com,成立时间：不详,"D轮,金额未透露,融资完成",立即认领,运营状态：正在运营,医疗器材医药生物技术,松力生物是一家自主研发型高新技术企业，同时也是企业博士后工作站。公司产品涵盖药品（生物制品）、III类医疗器械（生物材料）两大领域。公司申请了各种专利20余件，其中已授权中国发明专利4项，国际发明专利1项。发表SCI论文20余篇。,,,http://pic2.pedaily.cn/17/newseed/project/201709/20170920175341376.jpg,http://www.newseed.cn/project/61052,上海松力生物技术有限公司,松力生物是一家自主研发型高新技术企业，同时也是企业博士后工作站。公司产品涵盖药品（生物制品）、III类医疗器械（生物材料）两大领域。公司申请了各种专利20余件，其中已授权中国发明专利4项，国际发明专利1项。发表SCI论文20余篇。
Nutrinia,医疗健康,平台：WEB,坐标：以色列,官网：www.nutrinia.com,成立时间：2003,"D轮,3000万,美元,融资完成",立即认领,运营状态：正在运营,生物技术,Nutrinia创立于2003年，总部位于以色列，是一家临床阶段的生物技术公司，专注于研发胰岛素口服制剂。公司临床开发了两款产品，分别用于治疗早产儿（26周到32周）肠道吸收不良和婴幼儿断肠综合征。,,,http://pic2.pedaily.cn/newseed/project/201608/20160822105943533.jpg,http://www.newseed.cn/project/53296,Nutrinia,Nutrinia创立于2003年，总部位于以色列，是一家临床阶段的生物技术公司，专注于研发胰岛素口服制剂。公司临床开发了两款产品，分别用于治疗早产儿（26周到32周）肠道吸收不良和婴幼儿断肠综合征。
Histogen,医疗健康,平台：WEB,坐标：美国,官网：www.histogen.com,成立时间：2007,"D轮,600万,美元,融资完成",立即认领,运营状态：正在运营,生物技术,Histogen成立于2007年，总部位于美国圣地亚哥，拥有皮肤细胞生长技术及相关产品。该公司利用所谓的“生物反应器”，在模拟胚胎的情形下培养皮肤细胞、增长因子和其他相关化合物。,,,http://pic2.pedaily.cn/newseed/project/201608/20160823100302417.jpg,http://www.newseed.cn/project/53336,Histogen,Histogen成立于2007年，总部位于美国圣地亚哥，拥有皮肤细胞生长技术及相关产品。该公司利用所谓的“生物反应器”，在模拟胚胎的情形下培养皮肤细胞、增长因子和其他相关化合物。
Vestaron,传统行业,平台：WEB,坐标：美国,官网：www.vestaron.com,成立时间：2011,"D轮,1800万,美元,融资完成",立即认领,运营状态：正在运营,VR/AR能源环保,Vestaron创立于2001年，总部位于密歇根，愿景是希望研发商业化生物杀虫剂，帮助全世界的农民以一种更环保的方式生产出更安全、更优良的食物、观赏植物和纤维。公司致力于利用天然活性肽研发生物杀虫剂。这类肽具有强效杀虫潜力，但是对于人类、鱼类、鸟类和环境却很“安全”。,,,http://pic2.pedaily.cn/newseed/project/201608/20160809102916965.jpg,http://www.newseed.cn/project/52887,Vestaron,Vestaron创立于2001年，总部位于密歇根，愿景是希望研发商业化生物杀虫剂，帮助全世界的农民以一种更环保的方式生产出更安全、更优良的食物、观赏植物和纤维。公司致力于利用天然活性肽研发生物杀虫剂。这类肽具有强效杀虫潜力，但是对于人类、鱼类、鸟类和环境却很“安全”。
优信拍,生活消费,平台：WEB,坐标：北京市,官网：www.youxinpai.com,成立时间：不详,"D轮,5亿,美元,融资完成",立即认领,运营状态：正在运营,二手车,优信拍是专业提供二手车电子化竞价拍卖服务的供应商，核心业务是二手车网络拍卖平台，集竞价拍卖、车辆检测、安全支付、物流运输及售后服务代办为一体。,,,http://pic2.pedaily.cn/newseed/project/201701/20170116130523642.jpg,http://www.newseed.cn/project/17754,优信互联(北京)信息技术有限公司,优信拍是专业提供二手车电子化竞价拍卖服务的供应商，核心业务是二手车网络拍卖平台，集竞价拍卖、车辆检测、安全支付、物流运输及售后服务代办为一体。
快手,文化娱乐,平台：移动应用,坐标：北京市,官网：www.gifshow.com,成立时间：不详,"D轮,3.5亿,美元,融资完成",立即认领,运营状态：不详,视频图像视频,Gif快手是一个动态图片拍摄和分享APP，而后转型重点做短视频社区，该公司日前获得数千万美元B轮投资，红杉资本、晨兴创投联合投资。,,,http://pic2.pedaily.cn/newseed/project/201703/20170324123759981.jpg,http://www.newseed.cn/project/17983,北京一笑科技发展有限公司,已获得晨兴创投的投资位于北京市海淀区，主要致力于无线互联网、移动产品的研发，主要产品Gift快手是视频APP，支持下载和在线观看。已获得晨兴创投的投资。
