product,field,platform,location,homepage,establish_time,round,project_status,status,tags,description,contact,leadership,logo_url,url,company_name,brief_intro
Funding Circle,房产金融,平台：WEB,坐标：英国,官网：www.fundingcircle.com,成立时间：不详,"E轮,1.5亿,美元,融资完成",立即认领,运营状态：正在运营,,FundingCircle成立于2009年7月，是英国一家P2P网贷平台。,,,http://pic.pedaily.cn/newseed/projectlogo/201506/20150616@035757.jpg,http://www.newseed.cn/project/37351,Funding Circle,Funding Circle 成立于2009年7月，是英国一家P2P网贷平台。
Ola,汽车交通,平台：WEB,坐标：印度,官网：www.olacabs.com,成立时间：不详,"E轮,4亿,美元,融资完成",立即认领,运营状态：正在运营,,Ola成立于2010年11月，是印度一家移动打车服务领域的创业公司，日前已经在22个城市开展相关服务，并且这一数字还在不断增长当中。,,,http://pic.pedaily.cn/newseed/projectlogo/201506/20150616@022537.jpg,http://www.newseed.cn/project/36137,Ola,Ola 成立于2010年11月，是印度一家移动打车服务领域的创业公司，日前已经在22个城市开展相关服务，并且这一数字还在不断增长当中。
安美数字,企业服务,平台：其他,坐标：北京市,官网：www.amtium.com,成立时间：不详,"E轮,5050万,人民币,融资完成",立即认领,运营状态：正在运营,行业及技术解决方案,安美数字是一家面向星级酒店的数字服务解决方案提供商和数字内容运营服务商，主要为星级酒店提供宽带、Wi-Fi网络管理服务、客房互动电视系统、智能客房控制等产品。该公司日前公开宣布已经获得2亿元新一轮投资，投资方为国内著名的PE机构。,,,http://newseed.pedaily.cn/Upload/project/20150617/20150617223509957.jpg,http://www.newseed.cn/project/16974,安美世纪（北京）科技有限公司,安美世纪（北京）科技有限公司（简称“安美数字”）成立于2004年7月，是全球星级酒店数字服务解决方案的提供商和数字内容运营商。?安美将高清电视的多媒体体验和传统的网络媒体体验结合，透过全交互服务，向酒店的入住客人提供信息资讯和娱乐内容等互动服务。安美酒店数字服务平台涵盖信息资讯的整合编辑、娱乐内容的优化创新以及量身定制的虚拟客房管家服务。?安美集团旗下主要成员包括北京安腾世纪科技有限责任公司和北京科美特信息技术有限公司。?北京安腾世纪科技有限责任公司创建于2001年，正式推出了中国酒店数字客房投资的相关业务和商业模式。成立6年来，实现了酒店信息化服务产业75%的年增长率，为近800家星级酒店提供宽带运营和相关技术服务。?北京科美特信息技术有限公司成立于2006年，依托innFOR Anymode核心技术，创建了全高清酒店客房互动信息服务运营平台，成为多家酒店集团客房互动电视系统的特许供应商。
Slack,企业服务,平台：WEB,坐标：美国,官网：slack.com,成立时间：不详,"E轮,1.6亿,美元,融资完成",立即认领,运营状态：正在运营,文件文档办公软件,Slack成立于2009年，是一个面向企业的内部协同办公平台，为企业提供通讯、文件共享、分工等服务，同时整合了Heroku、Zendesk等第三方服务，目前拥有1.5万付费用户。,,,http://pic.pedaily.cn/newseed/projectlogo/201506/20150616@053236.jpg,http://www.newseed.cn/project/37934,Slack,Slack成立于2009年，是一个面向企业的内部协同办公平台，它支持群组互相发送私人信息，以及加入各种不同的群组频道，为企业提供通讯、文件共享、分工等服务，同时整合了 Heroku 、Zendesk等第三方服务，目前拥有1.5万付费用户。Slack 采用的是免费增值的服务模式，基本功能免费，高级功能付费。Slack 有 270 万的日活用户（上个月公布的数据为 230 万），其中有 80 万的付费用户。
DoubleDutch,企业服务,平台：WEB,坐标：美国,官网：doubledutch.me,成立时间：2011-01,"E轮,4500万,美元,融资完成",立即认领,运营状态：正在运营,,DoubleDutch成立于2011年1月，是一家企业会议服务应用开发商，公司和展会机构可以利用它来在移动端发布会议日程，管理参会者的签到并和他们产生更多互动。,,,http://pic.pedaily.cn/newseed/projectlogo/201506/20150616@033110.jpg,http://www.newseed.cn/project/36983,DoubleDutch,DoubleDutch 成立于2011年1月，是一家企业会议服务应用开发商，公司和展会机构可以利用它来在移动端发布会议日程，管理参会者的签到并和他们产生更多互动。
Betterment,信息技术,平台：WEB,坐标：美国,官网：www.betterment.com,成立时间：不详,"E轮,1亿,美元,融资完成",立即认领,运营状态：正在运营,机器人,机器人投资顾问（robo-advisor，也称智能理财、自动化理财），是一种在线理财服务，自动提供基于算法的理财方案，过程中不需要人工的理财顾问服务。,,,http://pic.pedaily.cn/newseed/projectlogo/201506/20150616@053732.jpg,http://www.newseed.cn/project/37993,"Betterment, LLC",Betterment是世界上最大的机器人投资顾问公司。
爱屋吉屋,信息技术,平台：WEB,坐标：上海市,官网：www.iwjw.com,成立时间：不详,"E轮,1.5亿,美元,融资完成",立即认领,运营状态：不详,O2O/本地生活办公软件,爱屋吉屋是一家开发全套O2O房屋信息服务的软件公司和运营商。由满懿（上海）房地产咨询有限公司开发。,,,http://pic.pedaily.cn/newseed/projectlogo/201506/20150610@111722.jpg,http://www.newseed.cn/project/17281,爱屋吉屋(上海)信息技术有限公司,爱屋吉屋是一家开发全套O2O 房屋信息服务的软件公司和运营商。由满懿（上海）房地产咨询有限公司开发。
小米科技,硬件,平台：硬件,坐标：北京市,官网：www.xiaomi.com,成立时间：不详,"E轮,11亿,美元,融资完成",立即认领,运营状态：正在运营,移动互联网互联网,小米公司是一家专注于高端智能手机自主研发的移动互联网公司，产品有小米手机、小米盒子、米聊、MIUI等，隶属于北京小米科技有限责任公司。,,,http://pic.pedaily.cn/newseed/projectlogo/201506/20150610@010037.jpg,http://www.newseed.cn/project/17351,北京小米科技有限责任公司,北京小米科技有限责任公司专注于iphone、android等新一代智能手机软件开发与热点移动互联网业务运营。2010年4月正式启动，公司已经获得知名天使投资人及风险投资morningside、启明的投资。
美菜网,信息技术,平台：WEB,坐标：北京市,官网：www.meicai.cn,成立时间：不详,"E轮,金额未透露,融资完成",立即认领,运营状态：不详,电子商务,美菜网是一家主打农产品和蔬菜水果的电子商务网站，原窝窝团创始团队二次创业倾力打造的一个农产品移动电商公司，隶属于北京云杉信息技术有限公司。,,,http://pic.pedaily.cn/newseed/projectlogo/201506/20150610@020653.jpg,http://www.newseed.cn/project/17407,北京云杉信息技术有限公司,美菜网是一家主打农产品和蔬菜水果的电子商务网站，原窝窝团创始团队二次创业倾力打造的一个农产品移动电商公司，隶属于北京云杉信息技术有限公司。
蜻蜓FM,文化娱乐,平台：WEB,坐标：上海市,官网：qingting.fm,成立时间：不详,"E轮,10亿,人民币,融资完成",立即认领,运营状态：不详,,,,,http://pic.pedaily.cn/newseed/projectlogo/201506/20150609@090656.jpg,http://www.newseed.cn/project/17410,上海麦克风文化传媒有限公司,上海麦克风文化传媒有限公司是一家专注于移动互联网领域的高科技公司，公司旗下主要的移动互联网手机应用产品“蜻蜓.FM”是一款手机广播聚合应用，2011年9月上线，提供全球在线新闻、音乐、经济、娱乐、相声、、外语、教育、都市、体育、小说、故事、戏曲、交通等3000多个电台频道，24小时不间断提供在线收听。支持3G、WIFI网络环境，并且免流量收听本地电台。蜻蜓fm的移动客户端包括IOS和Android，可以直接从蜻蜓fm官网和官方微博下载。
