product,field,platform,location,homepage,establish_time,round,project_status,status,tags,description,contact,leadership,logo_url,url,company_name,brief_intro
英雄互娱,游戏体育,平台：WEB,坐标：北京市,官网：www.yxhyu.com,成立时间：2015-01,"F轮,17亿,人民币,融资完成",立即认领,运营状态：正在运营,游戏硬件,,,,http://pic.pedaily.cn/newseed/projectlogo/201507/20150725@141316.jpg,http://www.newseed.cn/project/39370,北京英雄互娱科技股份有限公司,北京英雄互娱是一家手机游戏公司，2014年借壳北京塞尔瑟斯仪表科技股份有限公司登陆新三板。
海润影视,文化娱乐,"平台：WEB,其他",坐标：北京市,官网：www.hairunmedia.com,成立时间：不详,"F轮,3000万,人民币,融资完成",立即认领,运营状态：不详,影视,海润影视是一批获得国家广播电影电视总局批准认证的甲种“电视剧制作许可证”的民营影视制作机构，海润影视出品的影视作品多次夺得五个一工程奖、飞天奖、金鹰奖等华语地区主流奖项。,,,http://pic.pedaily.cn/Attachment/Logo/c/201212/779687ae-576a-4042-a975-dcbb619f44cd.jpg,http://www.newseed.cn/project/21598,海润影视集团,海润影视是一批获得国家广播电影电视总局批准认证的甲种“电视剧制作许可证”的民营影视制作机构，海润影视出品的影视作品多次夺得五个一工程奖、飞天奖、金鹰奖等华语地区主流奖项。
酒仙网,生活消费,平台：WEB,坐标：北京市,官网：www.jiuxian.com,成立时间：不详,"F轮,3亿,人民币,融资完成",立即认领,运营状态：正在运营,电子商务健康保健大宗批发零售,酒仙网（公司原名称为北京酒仙电子商务有限公司，于2013年9月正式更名为酒仙网电子商务股份有限公司，简称“酒仙网”），是目前中国酒类电子商务综合服务公司，主要从事酒类商品的线上零售，同时为酒企提供电子商务综合服务，经营范围包括白酒、葡萄酒、洋酒、保健酒、啤酒等。,,,http://pic.pedaily.cn/newseed/project/20151022/20151022151642165.jpg,http://www.newseed.cn/project/18870,北京酒仙电子商务有限公司,北京酒仙电子商务有限公司简称“酒仙网”， 是由多家知名企业及清华精英投资近亿元组建的综合性酒类电子商务B2C网站。酒仙网是以现代的“电子商务+物流配送”为主的B2C商业模式：即以网站订购、物流配送为主的酒类销售模式。通过现代电子商务平台专业从事酒类及相关消费品的销售服务。主营国际国内知名品牌、地方畅销品牌以及进口优秀品牌等酒类商品，经营范围包括白酒、葡萄酒、洋酒、保健酒、高档啤酒、酒器具等。
科通芯城,生活消费,平台：WEB,坐标：深圳市,官网：www.cogobuy.com,成立时间：不详,"F轮,2000万,美元,融资完成",立即认领,运营状态：正在运营,制造业电子商务,科通芯城是一家IC元器件自营电商，主打电子制造业供应链电商平台，是科通集团旗下的电商运营公司。,,,http://pic.pedaily.cn/newseed/projectlogo/201506/20150610@033757.jpg,http://www.newseed.cn/project/19782,深圳市可购百信息技术有限公司,科通芯城是一家IC元器件自营电商，主打电子制造业供应链电商平台，是科通集团旗下的电商运营公司。
Sprinklr,社交,平台：WEB,坐标：美国,官网：www.sprinklr.com,成立时间：不详,"F轮,1.05亿,美元,融资完成",立即认领,运营状态：正在运营,媒体,Sprinklr成立于2009年，总部位于纽约，是一家为企业用户提供社交媒体跨平台整合管理工具和服务的公司。早在2015年4月，Sprinklr就已经成为估值超过10亿美元的“独角兽”公司。,,,http://pic2.pedaily.cn/newseed/project/201607/20160721101037750.jpg,http://www.newseed.cn/project/37870,BitX,BitX是一个跨国比特币平台，总部位于新加坡，主要为东南亚和非洲等新兴市场提供钱包、交易所和商户对接服务。
美团网,生活消费,平台：WEB,坐标：北京市,官网：www.meituan.com,成立时间：不详,"F轮,40亿,美元,融资完成",立即认领,运营状态：正在运营,,美团网是一个团购网站，提供超低折扣的生活消费服务，隶属于北京三快科技有限公司。,,,http://pic.pedaily.cn/newseed/projectlogo/201506/20150609@114127.jpg,http://www.newseed.cn/project/18686,北京三快科技有限公司,美团网每天团购一次，为消费者发现最值得信赖的商家，让消费者享受超低折扣的优质服务。每天一单团购，为商家找到最合适的消费者，给商家提供最大收益的互联网推广。
Farfetch,生活消费,平台：WEB,坐标：伦敦,官网：www.farfetch.com/cn,成立时间：2007,"F轮,1.1亿,美元,融资完成",立即认领,运营状态：正在运营,VR/AR电子商务大宗批发零售,这家总部位于伦敦的时尚电商成立于2007年，平台汇集了超过300多家独立设计师精品店，其中不乏许多知名的精品店，如伦敦的Browns、巴黎的L’Eclaireur、卢森堡的Smets，同时也十分欢迎崭露头角的买手店入驻其中。Farfetch的多样和混搭不仅体现在零售合作伙伴上，其售卖的产品种类同样丰富。你在上面既可以买到Versace、AlexanderMcQueen、Dolce&Gabbana等奢侈品牌，也能搜罗到众多新锐独立设计师的作品。,,,http://pic2.pedaily.cn/newseed/project/201605/20160505135953228.jpg,http://www.newseed.cn/project/37900,Farfetch.com Limited,这家总部位于伦敦的时尚电商成立于 2007年，平台汇集了超过 300 多家独立设计师精品店，其中不乏许多知名的精品店，如伦敦的 Browns、巴黎的 L’ Eclaireur、卢森堡的 Smets，同时也十分欢迎崭露头角的买手店入驻其中。Farfetch 的多样和混搭不仅体现在零售合作伙伴上，其售卖的产品种类同样丰富。你在上面既可以买到 Versace、AlexandeMcQueen、Dolce&Gabbana 等奢侈品牌，也能搜罗到众多新锐独立设计师的作品。
6人游旅行网,旅游,平台：WEB,坐标：北京市,官网：www.6renyou.com,成立时间：不详,"F轮,2500万,人民币,融资完成",约谈,运营状态：正在运营,,6人游旅行网（六人游）是一个主打高品质小团旅行的服务网站，面对家庭、朋友等提供舒适小团游服务。北京中凡时代科技发展有限公司旗下网站。,赵丽娜,赵丽娜员工,http://pic2.pedaily.cn/newseed/project/201610/20161024180459470.jpg,http://www.newseed.cn/project/19799,北京六人游国际旅行社有限公司,北京六人游国际旅行社有限公司成立于2013年11月，注册资本60.0万元人民币，旗下在线旅游网站6人游旅行网主打“为爱出行”：是专门为家庭，朋友，情侣个性定制的私家小团旅游。打造高品质的旅游产品，解决传统跟团游和自由行存在的问题，将旅游服务做到至善至美。
ChargePoint,汽车交通,"平台：其他,移动应用",坐标：美国,官网：www.chargepoint.com,成立时间：2007,"F轮,5000万,美元,融资完成",立即认领,运营状态：正在运营,VR/AR,ChargePoint是全球最大、开设电子车充电站最多的设备运营商。目前，其业务范围已从美国国内扩展至加拿大、澳大利亚及新西兰。此外，为了增加电子车用户对自己品牌充电站的使用粘度，ChargePoint也为用户提供了网点定位App。该App不仅可以对充电站进行定位，还会显示该站的实时状态（是否可用），目前该App中可显示超过3万个美国境内充电网点位置及状态。,,,http://pic2.pedaily.cn/newseed/project/201605/20160506142020353.jpg,http://www.newseed.cn/project/50486,"ChargePoint, Inc.",ChargePoint 成立于 2007年，是全球最大、开设电子车充电站最多的设备运营商。目前，其业务范围已从美国国内扩展至加拿大、澳大利亚及新西兰。此外，为了增加电子车用户对自己品牌充电站的使用粘度，ChargePoint 也为用户提供了网点定位 App。该 App 不仅可以对充电站进行定位，还会显示该站的实时状态（是否可用），目前该 App 中可显示超过 3 万个美国境内充电网点位置及状态。
找钢网,生活消费,平台：WEB,坐标：上海市,官网：www.zhaogang.com,成立时间：2011-12-23,"F轮,2.2亿,人民币,融资完成",立即认领,运营状态：正在运营,,找钢网成立于2011年，是上海地区大型的钢材现货资源信息分享平台，每日有近千家有库存的客户在找钢网平台上发布现货信息，每日发布库存总量在一百万至一百五十万吨之间，有三千家左右每日需要采货的买家、两千家平均三日需要采货的买家和数量更多的每周需要采货的买家群体经常使用找钢网平台搜寻现货或委托找钢网找货。公司可以为采货的买家带来以下服务：一个电话、一条微信、QQ或者通过网站发布采购信息。,,,http://pic2.pedaily.cn/newseed/project/201701/20170116165825717.jpg,http://www.newseed.cn/project/17213,上海钢富电子商务有限公司,找钢网成立于2011年，是上海地区大型的钢材现货资源信息分享平台，每日有近千家有库存的客户在找钢网平台上发布现货信息，每日发布库存总量在一百万至一百五十万吨之间，有三千家左右每日需要采货的买家、两千家平均三日需要采货的买家和数量更多的每周需要采货的买家群体经常使用找钢网平台搜寻现货或委托找钢网找货。公司可以为采货的买家带来以下服务：一个电话、一条微信、QQ或者通过网站发布采购信息。
