product,field,platform,location,homepage,establish_time,round,project_status,status,tags,description,contact,leadership,logo_url,url,company_name,brief_intro
Bioventus,医疗健康,"平台：WEB,其他",坐标：美国,官网：www.bioventusglobal.com,成立时间：2012,"IPO上市及以后,1.5亿,美元,融资完成",立即认领,运营状态：正在运营,健康保健行业及技术解决方案,位于北卡罗来纳州达拉谟的Bioventus公司成立于2012年，是由Smith&Nephew公司（纽约证券交易所代码:SNN）剥离其生物和临床治疗部门后与风投公司埃塞克斯兀兰合资而成。Bioventus公司主要开发、出售针对植骨融合、关节炎的生物性骨材解决方案，产品主要围绕活动疗法和外科手术两大部分，相关方案都经过临床检验有相关数据支持。公司通过与医疗保健社区的合作，旨在帮助患者恢复和享受积极的生活。,,,http://pic2.pedaily.cn/newseed/project/201607/20160721104855572.jpg,http://www.newseed.cn/project/52388,Bioventus LLC,位于北卡罗来纳州达拉谟的Bioventus公司成立于2012年，是由Smith & Nephew公司（纽约证券交易所代码: SNN）剥离其生物和临床治疗部门后与风投公司埃塞克斯兀兰合资而成。Bioventus公司主要开发、出售针对植骨融合、关节炎的生物性骨材解决方案，产品主要围绕活动疗法和外科手术两大部分，相关方案都经过临床检验有相关数据支持。公司通过与医疗保健社区的合作，旨在帮助患者恢复和享受积极的生活。
周黑鸭,生活消费,平台：WEB,坐标：湖北省,官网：www.zhouheiya.cn,成立时间：1997,"IPO上市及以后,23.7亿,港币,融资完成",立即认领,运营状态：正在运营,,周黑鸭是一家专业从事鸭类、鹅类、鸭副产品和素食产品等熟卤制品生产的品牌。,,,http://pic2.pedaily.cn/newseed/project/201611/20161114182110990.jpg,http://www.newseed.cn/project/48023,湖北周黑鸭食品有限公司,湖北周黑鸭食品有限公司是一家专业从事鸭类、鹅类、鸭副产品和素食产品等熟卤制品生产的品牌企业，其前身为“武汉世纪周黑鸭食品有限公司”。公司位于湖北省武汉市江岸区谌家矶大道72号，建筑面积8000平方米，现有职工近3000人，年加工生产鸭类产品5000吨以上。2008年5月经报请湖北省工商管理局批准，更名为“湖北周黑鸭食品有限公司”。主要经营“周黑鸭”系列产品。
可恩口腔,医疗健康,平台：其他,坐标：德州市,官网：www.keen-dental.com,成立时间：不详,"IPO上市及以后,8669万,人民币,融资完成",立即认领,运营状态：正在运营,健康保健儿童早教,德州可恩口腔医院股份有限公司成立于2011年，以国家三级甲等综合医院医疗资源为依托，满足人们口腔医疗和保健需求。医院拥有2000多平方米现代化口腔诊疗空间，30间独立诊室，设有：口腔内科、口腔外科、口腔修复科、儿童齿科正畸等专科。诊疗项目包括：牙体病、牙髓病、牙周病、颌面外伤、儿童口腔、活动义齿、固定义齿、种植修复、错颌畸形矫正、洁牙和牙齿美容等等。,,,http://pic2.pedaily.cn/newseed/project/201609/20160927153007753.jpg,http://www.newseed.cn/project/54126,德州可恩口腔医院股份有限公司,德州可恩口腔医院股份有限公司成立于2011年，以国家三级甲等综合医院医疗资源为依托，满足人们口腔医疗和保健需求。医院拥有2000多平方米现代化口腔诊疗空间，30间独立诊室，设有：口腔内科、口腔外科、口腔修复科、儿童齿科正畸等专科。诊疗项目包括：牙体病、牙髓病、牙周病、颌面外伤、儿童口腔、活动义齿、固定义齿、种植修复、错颌畸形矫正、洁牙和牙齿美容等等。
丝路视觉,企业服务,平台：WEB,坐标：深圳市,官网：www.silkroadcg.com,成立时间：不详,"IPO上市及以后,1.54亿,人民币,融资完成",立即认领,运营状态：正在运营,,丝路数字视觉专注于为各行业提供数字视觉设计服务，实现CG技术全行业运用。,,,http://pic2.pedaily.cn/newseed/project/201611/20161108122434268.gif,http://www.newseed.cn/project/54693,深圳丝路数字视觉股份有限公司,深圳丝路数字视觉股份有限公司正式成立于2000年3月，现在已经发展为国内知名的数字视觉科技运用公司并相继成功成立了深圳、上海、北京、南京、青岛、广州、武汉、厦门、成都，以及香港办事处等国内、外分支机构，以及丝路数字视觉培训机构。公司目前拥有人才超过1700人，多数来自CG数码及影视行业之精英。丝路数字视觉主要以三维技术为核心，融合多媒体手段在不同的科技领域进行实践并最终实现其运用价值。丝路起步于建筑设计领域，现有业务范围涉及建筑效果图设计、地产三维动画制作、建筑方案咨询、建筑表现可视化、影视广告、影视后期、多媒体整体解决方案、展览展示解决方案等，并在工业设计、医疗机械设计、数字城市、CG游戏等领域积极创新。公司主要服务于房地产开发公司、城市规划、设计公司、建筑设计研究院、景观园林设计公司、医疗器械、汽车行业等。
贝达药业,医疗健康,平台：其他,坐标：杭州市,官网：www.bettapharma.com,成立时间：不详,"IPO上市及以后,7.2亿,人民币,融资完成",立即认领,运营状态：正在运营,医药健康保健,贝达药业是一家以自主知识产权创新药物研究和开发为核心，集医药研发、生产、营销于一体的国家级高新技术企业，针对的领域为恶性肿瘤、糖尿病、心血管病等严重影响人们健康和生命的疾病。,,,http://pic2.pedaily.cn/newseed/project/201611/20161109102123567.jpg,http://www.newseed.cn/project/54703,贝达药业股份有限公司,贝达药业股份有限公司是一家由海归博士团队创办的以自主知识产权创新药物研究和开发为核心，集研发 、生产、营销于一体的国家级高新制药企业。公司自2003年成立以来，始终致力于拥有自主知识产权的国家一类新药的研发和生产，针对的领域为恶性肿瘤、糖尿病、心脑血管等严重影响人们健康的疾病。　　公司在北京设有研发中心，下设合成室、分析室、药理室、制剂室、医学部、知识产权部等，现有100余名新药研发人员，包括10余位留学归国博士，其中6位已入选国家级“千人计划”，该团队荣获中国侨界贡献奖，个人先后被评为国家特聘专家、级特聘专家、“优秀博士后”、“先进科技工作者”。公司在全国设有11个销售办事处，拥有一支近300人的市场销售队伍，现有员工800余人。公司在杭州余杭经济技术开发区建有生产基地40亩、厂房8000㎡，拥有GMP认证的片剂和膏剂生产车间和原料药、肿瘤口服制剂等10个国药准字号药品生产批文。为满足日益增长的市场和生产需求，占地147亩的新总部也在积极筹建中，目前一期工程已完工，预计2016年可投入使用。　　2011年，公司自主研发的国家一类新药盐酸埃克替尼（凯美纳）获国家食品药品监督管理局颁发的新药证书和生产批文，并于8月在北京人民大会堂上市。 2012年7月，作为中国首个创新药，凯美纳被纳入国际新药研发年度报告。2013年6月获浙江省科学技术一等奖。2013年8月，世界顶级杂志《柳叶刀 肿瘤篇》首次全文刊发凯美纳Ⅲ期临床研究成果，编者按评价“埃克替尼开创了中国抗癌药研发的新纪元”（Icotinib: kick-starting the Chinese anticancedrug industry）。盐酸埃克替尼项目分别于2012年、2014年获国家知识产权局与世界知识产权组织共同颁发的第十四届、第十六届中国专利金奖。2014年11月，埃克替尼用于晚期非小细胞肺癌的一线治疗获得国家食品药品监督管理总局批准，为我国广大肺癌患者提供了一个新的治疗选择。2016年1月，埃克替尼的研发及产业化成果入选2015年国家科技进步一等奖，这是中国化学制药行业首次获此殊荣，也是浙江省企业界的第一个国家科技进步一等奖。　　公司成立10多年来，拥有已授权专利50余项，尚有百余项专利正在申请中；制定技术标准4项，其中盐酸埃克替尼原料药和片剂标准已成为国家标准； 获国家科技部“重大新药创制”科技重大专项、“科技型中小企业技术创新基金”支持，并被列入国家科技部“国家高新技术研究发展计划（863计划）”、“国家火炬计划”、“国家战略性创新产品”。　　2010年公司引进了美国礼来制药战略投资，并被评为“浙商最具投资价值企业”。2013年5月，公司与全球生物制药巨头——美国安进公司合资成立贝达安进制药有限公司，落户浙江省海创园，共同推进安进公司抗癌药物Vectibix（帕妥木单抗）在中国的市场化。2014年10月，贝达药业投资美国Xcovery公司，共同开发针对肺癌的新一代靶向药物X-396，让其惠及美国、中国以及全世界的患者。　　贝达药业将继续秉承开拓创新、造福于民的发展理念，致力于通过新药研发，努力实现创新为民、科技惠民，为中国百姓做更多吃得起的好药。
疆能股份,传统行业,"平台：硬件,其他",坐标：新疆,官网：www.mmexhn.com,成立时间：不详,"IPO上市及以后,3500万,人民币,融资完成",立即认领,运营状态：正在运营,制造业能源环保,新疆新华能电气股份有限公司属国家高新技术企业。下属4家全资子公司，3家控股子公司。公司确立“走区域化、差异化经营之路，开发高低压电气智能化技术，立足新疆和周边省区市场，开拓中西亚国际市场，建设一流智能化输配电专业服务公司”的战略目标。公司具备220KV以下成套输配电设备、智能断路器、中低压开关设备、电力自动化装置的研发、生产制造。与中国能源建设集团下属公司战略合作，承接火电站、水电站、风电厂、新能源电站、城市配网自动化工程建设总承包业务和电力工程咨询、设计、施工、安装、调试、运行、监理及工程EPC、PC、P业务。公司总部设在昌吉市北京南路388号，距乌鲁木齐国际机场15公里，现有员工500余人，大专以上学历和专业技术人员占86%。,,,http://pic.pedaily.cn/newseed/project/20151008/20151008093727218.png,http://www.newseed.cn/project/45200,新疆新华能电气股份有限公司,新疆新华能电气股份有限公司属国家高新技术企业。下属4家全资子公司，3家控股子公司。公司确立“走区域化、差异化经营之路，开发高低压电气智能化技术，立足新疆和周边省区市场，开拓中西亚国际市场，建设一流智能化输配电专业服务公司”的战略目标。公司具备220KV以下成套输配电设备、智能断路器、中低压开关设备、电力自动化装置的研发、生产制造。与中国能源建设集团下属公司战略合作，承接火电站、水电站、风电厂、新能源电站、城市配网自动化工程建设总承包业务和电力工程咨询、设计、施工、安装、调试、运行、监理及工程EPC、PC、P业务。公司总部设在昌吉市北京南路388号，距乌鲁木齐国际机场15公里，现有员工500余人，大专以上学历和专业技术人员占86%。注册资本1。14亿元，总资产5。3亿元，厂区面积45万平方米，建筑面积10万平方米。引进国际先进的全套数控加工生产线和试验设备，与国际企业和国内多所高等院校建立了长期产、学、研关系，建立了“新疆维吾尔自治区级企业技术中心”和“自治区工程技术研究中心”，并在西安设立“新华能电气（西安）研发中心”。多项技术获国家专利和软件著作权，荣获自治区“两化融合示范企业”和“重合同，守信用单位”称号。企业通过“ISO9001:2008国际质量管理体系”认证，所有产品通过国家权威机构型式试验和取得国家强制性“CCC”认证。“MME”被评为新疆著名商标，系列产品被评为“新疆名牌产品”，获得国家重点新产品证书、自治区科技进步一等奖、自治区新产品奖。在新疆、甘肃、青海、西藏和哈萨克斯坦、吉尔吉斯斯坦、塔吉克斯坦、乌兹别克、巴基斯坦等地的电力、石油、化工、交通、水利、冶金、矿山、建材、食品、纺织、医疗、学校、铁路、部队和基础建设等领域承包工程设计、施工、设备集成和运行管理服务及产品供应，在各地建立了长期的办事机构。公司以“为职工创造幸福、为股东创造收益、为社会创造财富”的企业核心价值观为导向，以“创新变革、永担重任、团结协作、争创第一”的企业精神为指导，遵循“质量至上、服务至诚、和谐至美”的管理理念，打造“创新变革、升华包容、智能环保”的新华能电气品牌，为用户提供智能、节能、环保的产品和服务。
万国数据,信息技术,平台：WEB,坐标：深圳市,官网：www.gds-services.com,成立时间：不详,"IPO上市及以后,1.925亿,美元,融资完成",立即认领,运营状态：正在运营,,万国数据是一个高可用数据中心基础设施及云平台服务提供商，向客户提供业务连续管理体系的全面服务，包括高可用性IT基础环境服务、灾难恢复（BC/DR）规划、实施、运行外包服务、测试中心服务、数据中心平台服务、ECC运行监控服务等，致力于推动中国IT外包服务的发展。,,,http://pic2.pedaily.cn/newseed/project/201611/20161107110410809.jpg,http://www.newseed.cn/project/54666,万国数据服务有限公司,万国数据（GDS）成立于2000 年，拥有世界级新一代数据中心与高可用IT 服务经验及卓越的产业链整合能力，是基于世界级数据中心的高可用IT 服务提供商。万国数据能够提供从数据中心设计、建设和运营，到数据中心托管，IT 管理运营外包，业务连续性管理及灾难恢复的整合解决方案、咨询、服务和培训。目前已广泛服务于银行、证券、能源、制造、物流、互联网等多个行业及政府机构。
世联行,房产金融,平台：WEB,坐标：深圳市,官网：www.worldunion.com.cn,成立时间：不详,"IPO上市及以后,1.2亿,美元,融资完成",立即认领,运营状态：正在运营,,世联成立于1993年，是国内最早从事房地产专业咨询的服务机构。2007年，世联整体改制，成立深圳世联地产顾问股份有限公司。2009年8月28日，世联在深圳证券交易所成功挂牌上市，成为首家登陆A股的房地产综合服务提供商。,,,http://pic.pedaily.cn/newseed/projectlogo/201506/20150610@081517.jpg,http://www.newseed.cn/project/19789,深圳世联地产顾问股份有限公司,世联成立于1993年，是国内最早从事房地产专业咨询的服务机构。2007年，世联整体改制，成立深圳世联地产顾问股份有限公司。2009年8月28日，世联在深圳证券交易所成功挂牌上市，成为首家登陆A股的房地产综合服务提供商。
深川股份,传统行业,平台：不详,坐标：淄博市,官网：www.chinsc.com,成立时间：不详,"IPO上市及以后,900亿,人民币,融资完成",立即认领,运营状态：不详,,,,,http://pic.pedaily.cn/Attachment/Logo/c/201504/09E0E7AF-A6B5-403E-9EBF-4753881353A0.png,http://www.newseed.cn/project/21808,山东深川变频科技股份有限公司,山东深川变频科技股份有限公司，是一家集研发、生产、销售于一体的专业电气传动、变频器制造商。公司始终贯彻“以技术创新为灵魂，以品质为保障”的价值观念，严格依照国际标准，在产品设计、技术研发、安全生产、产品安装和售后服务过程中实施精细化、标准化、科学化管理和程序化控制。公司拥有多项软件著作权和实用新型专利，先后通过了ISO9001质量管理体系认证、ISO14001环境管理体系认证等国家认证标准，使深川变频器的生产有了全面科学的质量安全保证。
AeroHive艾诺威,硬件,平台：不详,坐标：杭州市,官网：www.aerohive.com,成立时间：不详,"IPO上市及以后,金额未透露,融资完成",立即认领,运营状态：不详,,上海点荣金融信息服务有限责任公司旗下点融网是一家P2P网络借贷和金融服务网站。通过国内资深团队的运作和引进全球网络借贷平台LendingClub的先进技术和管理经验，点融网构建出一个高效、明、人性化易操作的网络投融资平台，将出借人和借款人进行自主配对，为国内广大个人和中小企业解决最急需的贷款和融资问题。同时，利用互联网的技术达到最低的审核成本，并把借贷份额进行拆分，实现自助式借贷：使具有闲置资金出借的个人与有贷款需求的个人或企业，能在线上通过点融网平台成功配对。,,,http://pic.pedaily.cn/newseed/projectlogo/201506/20150610@062543.jpg,http://www.newseed.cn/project/18381,艾诺威科技（杭州）有限公司,艾诺威科技(杭州）有限公司是美国Aerohive在中国境内设立的全资子公司，是Aerohive集团除美国硅谷研发中心之外的另一个重要研发中心。艾诺威科技(杭州）有限公司做为中国投资的总部，于2006年6月正式在杭州注册成立，公司致力于开发以无线网络为核心的无线通信技术、设备和系统软件，并积极协作无线网络实际应用系统和其他相关先进技术的研发。
