product,field,platform,location,homepage,establish_time,round,project_status,status,tags,description,contact,leadership,logo_url,url,company_name,brief_intro
极奥科技,汽车交通,平台：其他,坐标：上海市,官网：www.geoinfonet.com,成立时间：不详,"Pre-A,金额未透露,融资完成",立即认领,运营状态：正在运营,汽车后服务,极奥科技是一家智能出行大数据服务平台。以高精度、高实时性、多空间维度数据服务为基础，挖掘城市的通行潜力，构建无人驾驶专属的高精度地图。为机器人指路，为无人驾驶领航。,,,http://pic2.pedaily.cn/17/newseed/project/201712/20171221154829647.jpg,http://www.newseed.cn/project/62161,上海极奥网络科技有限公司,极奥科技是一家智能出行大数据服务平台。以高精度、高实时性、多空间维度数据服务为基础，挖掘城市的通行潜力，构建无人驾驶专属的高精度地图。为机器人指路，为无人驾驶领航。
红圈视频,文化娱乐,平台：其他,坐标：广州市,官网：不详,成立时间：不详,"Pre-A,金额未透露,融资完成",立即认领,运营状态：正在运营,视频,红圈视频是一家面向女性的创意互动品牌公司，分为IP节目制作、IP全媒体运营、KOL孵化、内容电商等几大业务版块。开发了《姐姐好饿》《肌肉欧巴菜》《红圈来了》等节目，广州市菁蜜千名文化传媒有限公司旗下。,,,http://pic2.pedaily.cn/17/newseed/project/201712/20171221171011104.png,http://www.newseed.cn/project/62166,广州市菁蜜千名文化传媒有限公司,红圈视频是一家面向女性的创意互动品牌公司，分为IP节目制作、IP全媒体运营、KOL孵化、内容电商等几大业务版块。开发了《姐姐好饿》《肌肉欧巴菜》《红圈来了》等节目，广州市菁蜜千名文化传媒有限公司旗下。
一米云站,生活消费,平台：其他,坐标：深圳市,官网：www.yimigreat.com,成立时间：不详,"Pre-A,金额未透露,融资完成",立即认领,运营状态：正在运营,零食/饮料O2O/本地生活,深圳市一米云站科技有限公司是专注于将西式食品工业科技应用于中餐标准化改进的现代化餐饮管理企业。公司核心团队具备近二十年餐饮供应链管理的行业积累，致力于顶尖的食品现代化研发及实现，采用线下实体店与线上互联网相结合的O&O模式，供应各种轻餐饮产品。一米云站利用最新的移动互联网和物联网技术，依托多点分布模式、最接近消费者的美食智能餐柜和开放的食品研发平台，成为中餐美食新业态和校园个性化用餐开创者。保障食品安全、全程保温、便捷实惠，有效解决CBD商业写字楼、住宅小区、学校、医院、企事业食堂、交通枢纽、工业园区、景点等各类场所的就餐问题，打造全新概念的智慧移动餐厅。,,,http://pic2.pedaily.cn/17/newseed/project/201712/20171215161455189.jpg,http://www.newseed.cn/project/62087,深圳市一米云站科技有限公司,深圳市一米云站科技有限公司是专注于将西式食品工业科技应用于中餐标准化改进的现代化餐饮管理企业。公司核心团队具备近二十年餐饮供应链管理的行业积累，致力于顶尖的食品现代化研发及实现，采用线下实体店与线上互联网相结合的O&O模式，供应各种轻餐饮产品。 一米云站利用最新的移动互联网和物联网技术，依托多点分布模式、最接近消费者的美食智能餐柜和开放的食品研发平台，成为中餐美食新业态和校园个性化用餐开创者。保障食品安全、全程保温、便捷实惠，有效解决CBD商业写字楼、住宅小区、学校、医院、企事业食堂、交通枢纽、工业园区、景点等各类场所的就餐问题，打造全新概念的智慧移动餐厅。
汇商通盈,房产金融,平台：其他,坐标：深圳市,官网：www.hstypay.com,成立时间：不详,"Pre-A,金额未透露,融资完成",立即认领,运营状态：正在运营,互联网金融,汇商通盈是一家专注于移动支付服务的公司，致力于为银行和商户之间提供金融服务桥梁，公司主要以线上服务平台为中小商户提供来自银行的移动支付、小额贷款、消费金融和基金理财等金融服务。,,,http://pic2.pedaily.cn/17/201712/20171218@305699.png,http://www.newseed.cn/project/62109,深圳汇商通盈科技有限公,汇商通盈是一家专注于移动支付服务的公司，致力于为银行和商户之间提供金融服务桥梁，公司主要以线上服务平台为中小商户提供来自银行的移动支付、小额贷款、消费金融和基金理财等金融服务。
邦园春,传统行业,平台：其他,坐标：烟台市,官网：不详,成立时间：2014-04-15,"Pre-A,2400万,人民币,需要融资",约谈,运营状态：不详,能源环保农业制造业,从事农资进口业务，我们从马来西亚引进使用并证实了棕榈纤维垫在中国果树种植中的商业价值和产生的高效益。我们已经签署了棕榈植培垫中国总代理，在华注册邦园春商标；已经固定了产业的发展方向，开始了升级产品的研发。我们要做的是颠覆“面朝黄土背朝天”的传统种植方式。我们的生产准备已前期完成，正在逐步完善。我们已经经过三年的国内实验论证，和山东胶东地区销售，市场的反响优秀，果农认可度极高，现在要在全面中国市场复制烟台模式销售，并加快升级产品2.0的研发与产业化。我们启动了融资商业计划。,风景,,http://www.newseed.cn/upload2/project/logo/201712/11095129457.jpg,http://www.newseed.cn/project/61961,N/A,
书单,文化娱乐,平台：其他,坐标：广州市,官网：不详,成立时间：不详,"Pre-A,金额未透露,融资完成",立即认领,运营状态：正在运营,阅读媒体,谷粒传媒是一家以内容驱动的新媒体及电商企业，微信公众号“书单”（ID：BookSelcection）是谷粒传媒重点打造的新媒体项目，以书为媒，致力于分享智识、独到见解，倡导有态度的阅读。,,,http://pic2.pedaily.cn/17/newseed/project/201712/20171218162744896.jpg,http://www.newseed.cn/project/62117,广州谷粒文化传媒有限公司,谷粒传媒是一家以内容驱动的新媒体及电商企业，微信公众号“书单”（ID：BookSelcection）是谷粒传媒重点打造的新媒体项目，以书为媒，致力于分享智识、独到见解，倡导有态度的阅读。
泛艺学苑,教育培训,平台：其他,坐标：上海市,官网：www.tydesigner.com,成立时间：不详,"Pre-A,金额未透露,融资完成",立即认领,运营状态：正在运营,职业培训,泛艺学苑是一家“职业发展机构”，主要满足企业用人所需的针对性培养，以及员工职业发展所需专业技能、交际情商、职业素养等培养，专注于泛设计职业生涯教育事业，通过互联网为学员提供真正有用的技能教学，并辅以精心设计的就业辅助体系。,,,http://pic2.pedaily.cn/17/newseed/project/201712/20171219191942904.jpg,http://www.newseed.cn/project/62135,颐筠（上海）信息技术有限公司,泛艺学苑是一家“职业发展机构”，主要满足企业用人所需的针对性培养，以及员工职业发展所需专业技能、交际情商、职业素养等培养，专注于泛设计职业生涯教育事业，通过互联网为学员提供真正有用的技能教学，并辅以精心设计的就业辅助体系。
YI Tunnel图灵通诺,生活消费,平台：其他,坐标：北京市,官网：www.yitunnel.com,成立时间：不详,"Pre-A,金额未透露,融资完成",立即认领,运营状态：正在运营,O2O/本地生活,YITunnel图灵通诺是一家无人便利店方案提供商，主打AI+新零售，通过图像识别、人脸识别、动作语义识别等技术，采集SKU数据、消费者行为和交易数据，并进行实时销售数据监测，最终以指导供应链优化。,,,http://pic2.pedaily.cn/17/newseed/project/201712/20171220134025690.png,http://www.newseed.cn/project/62140,图灵通诺（北京）科技有限公司,YI Tunnel图灵通诺是一家无人便利店方案提供商，主打AI+新零售，通过图像识别、人脸识别、动作语义识别等技术，采集SKU数据、消费者行为和交易数据，并进行实时销售数据监测，最终以指导供应链优化。
VLESS,汽车交通,平台：硬件,坐标：无锡市,官网：vni.vless.net,成立时间：2013-06-01,"Pre-A,1000万,人民币,需要融资",约谈,运营状态：不详,大数据人工智能车联网,汽车智能座舱感知项目是对车辆内部驾乘人员缺乏监测而提出的技术方案，也是未来自动驾驶系统不可或缺的一项技术补充。无锡威莱斯电子有限公司是一家专注于3D感知技术及其方案的公司，也是国内第一家将3DTOF感知技术应用到车辆座舱的公司。目前面对国内的汽车主机厂，帮助解决他们今后在互联智能车对于车内监控的各种需求，最终提供整套解决方案。,vless老王,王臣豪总经理丁盛运营总监刘富强特聘专家毕海龙董事,http://www.newseed.cn/upload2/project/logo/201712/18095601353.jpg,http://www.newseed.cn/project/62105,N/A,
游美国际营地,教育培训,平台：其他,坐标：北京市,官网：www.statesidecamp.com/zh,成立时间：不详,"Pre-A,金额未透露,融资完成",立即认领,运营状态：正在运营,兴趣教育,游美国际营地是一家国际营地教育机构，初期与美国本土营地进行合作，提供美国本土夏令营、冬令营、艺术营、体育营等活动。后期设立了国内第一个固定场景的美式国际营地。,,,http://pic2.pedaily.cn/17/newseed/project/201711/20171120151751810.jpg,http://www.newseed.cn/project/61766,游美营地（北京）教育科技有限公司,游美国际营地是一家国际营地教育机构，初期与美国本土营地进行合作，提供美国本土夏令营、冬令营、艺术营、体育营等活动。后期设立了国内第一个固定场景的美式国际营地。
OCI国际教育/ OfferComing,教育培训,"平台：WEB,其他",坐标：福州市,官网：www.offercoming.com,成立时间：不详,"Pre-A,金额未透露,融资完成",立即认领,运营状态：正在运营,出国留学,OfferComing是一家留学后服务供应商，专注为留学美国的低龄学生提供留学后服务，下设OfferComing留学商城，是一个结合云服务计算、整合国际教育服务资源、打造零距离体验式留学服务的留学交易平台。,,,http://pic2.pedaily.cn/17/newseed/project/201709/20170920185930109.jpg,http://www.newseed.cn/project/61059,福州市向海教育咨询有限公司,OfferComing是一家留学后服务供应商，专注为留学美国的低龄学生提供留学后服务，下设OfferComing留学商城，是一个结合云服务计算、整合国际教育服务资源、打造零距离体验式留学服务的留学交易平台。
全息儿童娱乐,游戏体育,平台：硬件,坐标：北京市,官网：www.3d-zh.com,成立时间：2012-03-15,"Pre-A,500万,人民币,需要融资",约谈,运营状态：正在运营,VR/AR,以先进的科技打造儿童娱乐产业，运用高科技完成儿童娱乐产业的升级,wendywong7,,http://www.newseed.cn/upload/user/logo/201709/4659187402.jpg,http://www.newseed.cn/project/60992,N/A,
可汗招聘-流量分发式招聘平台,企业服务,"平台：WEB,移动应用",坐标：上海市,官网：www.cohirer.com,成立时间：2016-01-15,"Pre-A,800万,人民币,需要融资",约谈,运营状态：不详,大数据人力资源广告营销,可汗用营销的理念和技术手段，解决职位和人才的匹配问题。与传统招聘模式不同的是，可汗通过整合离散的具有职业属性的媒体，组成一个社交招聘联盟，通过流量分发的方式，覆盖主动求职和被动求职的人群。,老头,,http://www.newseed.cn/upload2/project/logo/201711/19195239710.jpg,http://www.newseed.cn/project/61753,N/A,
