product,field,platform,location,homepage,establish_time,round,project_status,status,tags,description,contact,leadership,logo_url,url,company_name,brief_intro
喜悦秘境,企业服务,平台：其他,坐标：贵阳市,官网：www.xymijing.com,成立时间：2014-08,"其他轮,金额未透露,融资完成",立即认领,运营状态：正在运营,广告营销,喜悦秘境是一家酒店品牌运营商。以健康养心为主题，量身定制健康疗程。藏式风情浓厚，房间内陈设藏族艺术品，游客还可以在藏族艺术博物馆和精品店里欣赏、购买当地的特色商品和泰国的手工艺品。,,,http://pic2.pedaily.cn/17/newseed/project/201708/20170814072624625.jpg,http://www.newseed.cn/project/60409,贵阳喜悦秘境酒店有限公司,喜悦秘境是一家酒店品牌运营商。以健康养心为主题，量身定制健康疗程。藏式风情浓厚，房间内陈设藏族艺术品，游客还可以在藏族艺术博物馆和精品店里欣赏、购买当地的特色商品和泰国的手工艺品。
天下秀(IMS新媒体),文化娱乐,"平台：WEB,其他",坐标：北京市,官网：www.inmyshow.com,成立时间：20-09-11,"其他轮,金额未透露,融资完成",立即认领,运营状态：正在运营,媒体互联网金融,天下秀(IMS新媒体商业集团)是一家社交大数据营销公司，为企业品牌提供一站式社交营销解决方案，拥有四个品牌矩阵：自有品牌WEIQ、SMART、以及由IMS联合微博、360、UC联合组建的克劳锐和IMS与阿里旗下湖畔基金联合投资的凤梨科技。,,,http://pic2.pedaily.cn/17/newseed/project/201708/20170817001338249.jpg,http://www.newseed.cn/project/60477,北京天下秀科技有限公司,天下秀(IMS新媒体商业集团)是一家社交大数据营销公司，为企业品牌提供一站式社交营销解决方案，拥有四个品牌矩阵：自有品牌WEIQ、SMART、以及由IMS联合微博、360、UC联合组建的克劳锐和IMS与阿里旗下湖畔基金联合投资的凤梨科技。
震坤行工业超市,企业服务,平台：其他,坐标：上海市,官网：www.zkh360.com,成立时间：1996-05-27,"其他轮,2亿,人民币,融资完成",立即认领,运营状态：正在运营,互联网行业及技术解决方案,,,,http://pic2.pedaily.cn/17/newseed/project/201707/20170712114508151.png,http://www.newseed.cn/project/58825,震坤行工业超市（上海）有限公司,震坤行工业超市是一家一站式MRO工业用品采购服务平台。
马夫眼镜,生活消费,平台：其他,坐标：上海市,官网：www.mafuglasses.com,成立时间：2014-07,"其他轮,1.2亿,人民币,融资完成",立即认领,运营状态：正在运营,电子商务,马夫眼镜是一个管家式配镜服务平台，提供上门配镜服务，通过互联网配镜解决方案，为配镜用户提供专业舒适的定制配镜方案，上海投趣网络科技有限公司旗下。,,,http://pic2.pedaily.cn/17/newseed/project/201709/20170906174555221.jpg,http://www.newseed.cn/project/60854,上海投趣网络科技有限公司,马夫眼镜是一个管家式配镜服务平台，提供上门配镜服务，通过互联网配镜解决方案，为配镜用户提供专业舒适的定制配镜方案，上海投趣网络科技有限公司旗下。
Momenta,汽车交通,平台：其他,坐标：北京市,官网：momenta.ai,成立时间：2016-07-27,"其他轮,金额未透露,融资完成",立即认领,运营状态：正在运营,汽车电商,,,,http://pic2.pedaily.cn/17/newseed/project/201707/20170725131626570.png,http://www.newseed.cn/project/59058,北京初速度科技有限公司,于深度学习的环境感知、高精度地图、驾驶决策技术，让无人驾驶成为可能。
美味生活,生活消费,平台：其他,坐标：北京市,官网：www.meiweishenghuo.com,成立时间：不详,"其他轮,6000万,人民币,融资完成",立即认领,运营状态：正在运营,O2O/本地生活,美味生活是一家提供智能售货机的本地生活服务公司，定位为吃喝休闲产品，类似于微型便利店，主要投放在办公楼、CBD区域。除了提供外卖正餐，美味生活还售卖水果沙拉、零食、饮料等产品。,,,http://pic2.pedaily.cn/17/newseed/project/201710/20171009185000385.jpg,http://www.newseed.cn/project/61228,天津亮剑科技有限公司,美味生活是一家提供智能售货机的本地生活服务公司，定位为吃喝休闲产品，类似于微型便利店，主要投放在办公楼、CBD区域。除了提供外卖正餐，美味生活还售卖水果沙拉、零食、饮料等产品。
欧德雅,传统行业,平台：其他,坐标：东莞市,官网：www.dgody.com,成立时间：不详,"其他轮,1650万,人民币,融资完成",立即认领,运营状态：正在运营,制造业,欧德雅是一家板式家具封边材料研发商，致力于高端封边材料研发、生产及销售，产品覆盖薄边系列、厚边系列、铝边系列和异型系列等，包括PVC、ABS、PP以及PMMA等封边材料。,,,http://pic2.pedaily.cn/17/newseed/project/201710/20171012165048624.jpg,http://www.newseed.cn/project/61279,东莞欧德雅装饰材料有限公司,欧德雅是一家板式家具封边材料研发商，致力于高端封边材料研发、生产及销售，产品覆盖薄边系列、厚边系列、铝边系列和异型系列等，包括PVC、ABS、PP以及PMMA等封边材料。
传梭智造,生活消费,平台：其他,坐标：上海市,官网：不详,成立时间：2007-04-10,"其他轮,金额未透露,融资完成",立即认领,运营状态：正在运营,互联网,,,,http://pic2.pedaily.cn/17/newseed/project/201707/20170707111603836.png,http://www.newseed.cn/project/58748,上海亨谦实业发展有限公司,传梭智造是一个纺织服装快反供应链平台。
易点时空,信息技术,平台：WEB,坐标：上海市,官网：www.eclicks.cn,成立时间：不详,"其他轮,5.5亿,人民币,融资完成",立即认领,运营状态：正在运营,移动互联网互联网,上海易点时空网络有限公司（车轮互联），是一家专注于移动互联网尤其是汽车领域的移动互联网公司，旗下产品有车轮社区、车轮查违章、车轮考驾照等。,,,http://pic2.pedaily.cn/newseed/project/201612/20161202182316798.jpg,http://www.newseed.cn/project/19590,上海易点时空网络有限公司,上海易点时空网络有限公司创立于2012年9月，注册资本425万元人民币，公司位于上海市浦东新区东方路3601丰华园，是一家专注于移动互联网尤其是汽车领域的移动互联网公司。
就近家装,生活消费,平台：其他,坐标：北京市,官网：www.jiujinzxyc.com,成立时间：2016-08-15,"其他轮,500万,人民币,需要融资",约谈,运营状态：正在运营,制造业消费电子家装互联网电子商务,江苏就近装修网科技有限公司由江苏建设控股集团创始股东团队、北京明业投资管理有限公司、北京奥思泰装饰设计有限公司及上海义信电子商务有限公司联合成立，联合线上线下四方资源优势，打造中国最具竞争力的成品装潢020家装企业。旨在开创中国家庭装潢集设计、制造、设备、施工、配套、陈设为一体的互联网家装生态体系产品。将当下最复杂繁琐的家庭装潢装修施工服务过程，改变为让消费者到商场以实景装潢成品的产品直接购置回家。从而减少居民装修的烦恼；集社会资源，以产业链生产组合模式，实现集成化、标准化、规模化、成品化的经营方式，减少生产成本，让利于消费者，从而来赢取市场。就近家装实景体验馆以工厂化、标准,李春秋,,http://newseed.pedaily.cn/upload/project/logo/201608/23103538096.jpg,http://www.newseed.cn/project/53340,N/A,
摩天轮票务,生活消费,平台：WEB,坐标：上海市,官网：www.tking.cn,成立时间：不详,"其他轮,2500万,美元,融资完成",立即认领,运营状态：正在运营,O2O/本地生活体育培训赛事运营/经纪体育设施/场馆,摩天轮票务(此前叫：牛魔王票务)是一家文化演出与体育赛事领域票务平台，提供演唱会、舞台剧等等的票务购买。上海驹旗网络科技有限公司旗下产品。,,,http://pic2.pedaily.cn/17/newseed/project/201706/20170612174623264.jpg,http://www.newseed.cn/project/58303,上海驹旗网络科技有限公司,牛魔王是一家票务平台。提供演唱会，舞台剧等等的票务购买。
捷翔饮品,生活消费,平台：其他,坐标：上海市,官网：不详,成立时间：不详,"其他轮,金额未透露,融资完成",立即认领,运营状态：正在运营,O2O/本地生活零食/饮料机器人,捷翔饮品是一家专注影院现制饮品，捷翔饮品研发了软冰淇凌机器人，捷翔还采用远程物联网控制技术，通过手机远程知悉设备的状态，开关机和各种售卖参数。以此来降低设备的使用难度和员工的劳动强度。,,,http://pic2.pedaily.cn/17/newseed/project/201706/20170613101915427.jpg,http://www.newseed.cn/project/58313,捷翔饮品（上海）有限公司,捷翔饮品是一家专注影院现制饮品，捷翔饮品研发了软冰淇凌机器人，捷翔还采用远程物联网控制技术，通过手机远程知悉设备的状态，开关机和各种售卖参数。以此来降低设备的使用难度和员工的劳动强度。
明码科技,医疗健康,平台：其他,坐标：上海市,官网：www.nextcode.com,成立时间：不详,"其他轮,2.4亿,美元,融资完成",立即认领,运营状态：正在运营,生物技术健康保健,明码科技是一个提供医疗健康服务的平台，专注于实现大规模基因组数据查询、管理、存储和共享，致力于从数据分析结果提供项目设计到临床测试到诊断的服务。,,,http://pic2.pedaily.cn/17/newseed/project/201705/20170502162402509.jpg,http://www.newseed.cn/project/57746,明码 (上海) 生物科技有限公司,明码科技是一个提供医疗健康服务的平台，专注于实现大规模基因组数据查询、管理、存储和共享，致力于从数据分析结果提供项目设计到临床测试到诊断的服务。
Viridity Energy,企业服务,平台：WEB,坐标：美国,官网：viridityenergy.com,成立时间：不详,"其他轮,850万,美元,融资完成",立即认领,运营状态：正在运营,VR/AR,"ViridityEnergy’senablingsoftwareturnsenergyprofilesintofinancialreturns.Ourmissionistotransformhowenergycustomersinteractproactivelyandproductivelywiththeelectricgrid.Throughourabilitytoobtaincustomer’srevenuefrommoreenergymarketsandsavingsopportunitiesthananyoneinthebusiness,ourcustomersachieveoptimalbottomlineresults.",,,http://pic2.pedaily.cn/newseed/project/201605/20160518091804277.jpg,http://www.newseed.cn/project/50791,Viridity Energy,"Viridity Energy’s enabling software turns energy profiles into financial returns. Oumission is to transform how energy customers interact proactively and productively with the electric grid. Through ouability to obtain customer’s revenue from more energy markets and savings opportunities than anyone in the business, oucustomers achieve optimal bottom line results."
邦盛金融,房产金融,平台：WEB,坐标：杭州市,官网：www.bsfit.com.cn,成立时间：201,"其他轮,1.6亿,人民币,融资完成",立即认领,运营状态：正在运营,互联网电子商务行业及技术解决方案互联网金融,杭州邦盛金融信息技术有限公司(简称邦盛金融)，成立于2010年，致力于为国内金融机构提供卓越的金融风险监控解决方案，服务领域囊括银行、第三方支付、互联网金融、电商平台、外汇、证券、基金、保险等行业。,,,http://pic2.pedaily.cn/17/newseed/project/201705/20170509171602352.jpg,http://www.newseed.cn/project/52483,杭州邦盛金融信息技术有限公司,杭州邦盛金融信息技术有限公司(简称邦盛金融)，成立于2010年，致力于为国内金融机构提供卓越的金融风险监控解决方案，服务领域囊括银行、第三方支付、互联网金融、电商平台、外汇、证券、基金、保险等行业。
蚂蚁金服,房产金融,平台：WEB,坐标：杭州市,官网：www.antgroup.com,成立时间：不详,"其他轮,金额未透露,融资完成",立即认领,运营状态：不详,,蚂蚁金服是阿里巴巴旗下的小微金融集团，于2014年10月16日正式成立，旗下业务包括支付宝、支付宝钱包、余额宝、招财宝、蚂蚁小贷和网商银行（筹）等。目前，蚂蚁金服获120亿元增资，全国社保入股，占蚂蚁金服股份8%左右。本轮增资共引入了11家机构，上海众付股权投资管理中心（有限合伙）、上海经颐投资中心（有限合伙）、国开金融有限公司、苏州工业园区国开鑫元投资中心（有限合伙）、新华人寿保险股份有限公司、人保资本投资管理有限公司、全国社会保障基金理事会、中国太平洋人寿保险股份有限公司、中国人寿保险（集团）公司、春华景信（天津）投资中心（有限合伙）、上海金融发展投资基金二期（壹）（有限合伙）。,,,http://pic.pedaily.cn/newseed/project/20150707/20150707182339639.jpg,http://www.newseed.cn/project/18078,蚂蚁金融服务集团,蚂蚁金服是阿里巴巴旗下的小微金融集团，于2014年10月16日正式成立，旗下业务包括支付宝、支付宝钱包、余额宝、招财宝、蚂蚁小贷和网商银行（筹）等。
易订货,信息技术,平台：WEB,坐标：深圳市,官网：www.dinghuo123.com,成立时间：不详,"其他轮,金额未透露,融资完成",约谈,运营状态：不详,,易订货是一个B2B的分销订货系统，通过该系统，厂商（供应商）与它的分销商（或直营店、稳定客户）通过一个私密的平台系统，进行一站式的订单业务处理和信息协同，支持PC和手机下单。公司日前获得数百万美元A轮投资，华创资本等参与投资。,张旗,张旗员工,http://pic.pedaily.cn/newseed/project/20150703/20150703145717408.jpg,http://www.newseed.cn/project/17984,深圳市铱云云计算有限公司,深圳市铱云云计算有限公司成立于2013年7月，旗下主打产品易订货是一个B2B的分销订货系统，通过该系统，厂商（供应商）与它的分销商（或直营店、稳定客户）通过一个私密的平台系统，进行一站式的订单业务处理和信息协同，支持PC和手机下单。深圳市铱云云计算有限公司旗下网站。
布拉旅行,信息技术,平台：WEB,坐标：上海市,官网：www.blaa.com.cn,成立时间：不详,"其他轮,金额未透露,融资完成",约谈,运营状态：不详,,布拉旅行是一个旅行度假导购移动应用，每日推荐高性价比的度假旅行产品。该公司日前披露已经完成300万元的天使轮融资，但具体时间、投资方信息不详。,徐雷,徐雷创始人,http://pic.pedaily.cn/newseed/project/20150703/20150703114904415.jpg,http://www.newseed.cn/project/17981,悦行信息科技(上海)有限公司,悦行信息科技(上海)有限公司是主营业务为酒店客房数字多媒体系统产品的研发、销售和连锁酒店集团数字多媒体信息平台运营的高新技术企业。公司拥有酒店互动系统，数字媒体技术装置等多项专利发明，获得多项国家认证。公司坚持自主研发，结合市场客户的个性化需求，能全方位给酒店提供网络、视频、WiFi和O2O电商平台的综合解决方案，并在平台上开展运营。
大特保,医疗健康,"平台：移动应用,WEB",坐标：北京市,官网：www.datebao.com,成立时间：2014-07-22,"其他轮,金额未透露,融资完成",约谈,运营状态：正在运营,人工智能大数据移动互联网互联网金融,大特保是中国创新型互联网保险科技公司，成立于2014年7月，以精算和技术创新著称，聚焦人身险和场景化产品。2016年7月完成B轮融资，目前估值超13亿人民币。平台拥有专业的精算团队、AI自主研发团队，并于2017年成功上线行业首个“聊天”机器人，在产品研发、风控、销售、客服、用户画像等各个关键环节，都对行业产生积极影响，并作为专业的保险科技输出方，为第三方互联网平台和咨询机构等提供高效的技术服务。目前已与中国太平洋保险、中国太平、新华保险、中国人寿、慕尼黑再保险、通用再保险等数十家保险公司和再保险公司及支付宝、滴滴出行、京东、银行、唯品会等多领域平台建立合作，为千万用户提供保险服务。,大街小巷,大街小巷员工,http://newseed.pedaily.cn/upload/project/logo/201706/02115300419.jpg,http://www.newseed.cn/project/18132,N/A,
A.I.Nemo小鱼在家,信息技术,平台：硬件,坐标：北京市,官网：www.zaijia.com,成立时间：20-14-03,"其他轮,金额未透露,融资完成",约谈,运营状态：正在运营,视频机器人图像视频,小鱼在家是北京小鱼儿科技有限公司旗下产品，是一款主打陪伴家人概念的家庭智能陪伴机器人，基于核心的多方音视频通讯，推动家人之间的联系与交流。,常昆,,http://pic2.pedaily.cn/newseed/project/201609/20160927182251991.jpg,http://www.newseed.cn/project/17249,北京小鱼儿科技有限公司,资料显示，北京小鱼儿科技有限公司成立于2014年3月，公司先后完成了 A、B两轮累计近3000万美金的融资。小鱼儿科技凭借着主力产品“小鱼在家”家庭智能陪伴机器人走进广大家庭。
掌门1对1,教育培训,平台：WEB,坐标：上海市,官网：zmlearn.com,成立时间：不详,"其他轮,金额未透露,融资完成",立即认领,运营状态：正在运营,,掌门1对1（前身是掌门新锐）是一家为初高中学生提供在线1对1教育的平台，尤其主打高端专业的1对1订制化教学服务。上海翼师网络科技有限公司旗下网站。,,,http://pic.pedaily.cn/newseed/project/20150709/20150709174736723.jpg,http://www.newseed.cn/project/18147,上海翼师网络科技有限公司,掌门1对1（前身是掌门新锐）是一家为初高中学生提供在线1对1教育的平台，尤其主打高端专业的1对1订制化教学服务。上海翼师网络科技有限公司旗下网站。
咸鱼游戏,游戏体育,平台：WEB,坐标：深圳市,官网：www.xianyugame.com,成立时间：不详,"其他轮,1.8亿,人民币,融资完成",立即认领,运营状态：不详,游戏硬件游戏发行及渠道,咸鱼游戏是一家手机游戏发行代理公司，代理产品有《狂斩三国2》、《公主快跑》、《火线三国》等。,,,http://pic.pedaily.cn/newseed/project/20150709/20150709110605511.jpg,http://www.newseed.cn/project/18133,深圳市星河互动科技有限公司,咸鱼游戏是一家手机游戏发行代理公司，代理产品有《狂斩三国2》、《公主快跑》、《火线三国》等。
