product,field,platform,location,homepage,establish_time,round,project_status,status,tags,description,contact,leadership,logo_url,url,company_name,brief_intro
懒人社交,社交,平台：其他,坐标：深圳市,官网：不详,成立时间：不详,"天使,金额未透露,融资完成",立即认领,运营状态：正在运营,兴趣社区,懒人社交是一个一站式跨境社交媒体管理平台，支持Facebook，Twitter，Instagram以及LinkedIn等主流社交媒体的授权服务。编辑好贴子后，可以一键发布到各个授权平台。同时平台提供英文写作团队和大数据分析服务，帮助用户进行社交媒体营销。深圳店匠科技有限公司旗下。,,,http://pic2.pedaily.cn/17/201712/20171220@316370.png,http://www.newseed.cn/project/62149,深圳店匠科技有限公司,懒人社交是一个一站式跨境社交媒体管理平台，支持Facebook，Twitter，Instagram以及LinkedIn等主流社交媒体的授权服务。编辑好贴子后，可以一键发布到各个授权平台。同时平台提供英文写作团队和大数据分析服务，帮助用户进行社交媒体营销。深圳店匠科技有限公司旗下。
未卡Vetreska	/ 汪萌主,生活消费,平台：其他,坐标：上海市,官网：www.nutriharborpets.com,成立时间：不详,"天使,金额未透露,融资完成",立即认领,运营状态：正在运营,O2O/本地生活,未卡Vetreska是专注于时尚养宠方式的服务品牌，目前公司业务包括自有宠物食品，宠物服装以及宠物主人周边产品等，隶属于上海汪萌主宠物用品有限公司，隶属于纽约Vetreska品牌旗下。,,,http://pic2.pedaily.cn/17/newseed/project/201712/20171218222202841.png,http://www.newseed.cn/project/62121,上海汪萌主宠物用品有限公司,未卡Vetreska是专注于时尚养宠方式的服务品牌，目前公司业务包括自有宠物食品，宠物服装以及宠物主人周边产品等，隶属于上海汪萌主宠物用品有限公司，隶属于纽约Vetreska品牌旗下。
喔嘀鲜生,生活消费,平台：其他,坐标：北京市,官网：不详,成立时间：2017-06-01,"天使,300万,人民币,需要融资",约谈,运营状态：不详,O2O/本地生活电子商务,以智慧社区菜市角度切入生鲜O2O市场，并最终扩展到实体店和无人生鲜零售领域；团队以多年从事生鲜电商的高管为主组成，自投种子轮资金，已经开始在北京和深圳进行试验该项目。需要融资300万天使轮资金，完成整个项目的验证。,Garyleecn,,http://www.newseed.cn/upload2/project/logo/201712/19001449555.jpg,http://www.newseed.cn/project/62125,N/A,
PereDoc,医疗健康,平台：其他,坐标：北京市,官网：不详,成立时间：不详,"天使,3000万,人民币,融资完成",立即认领,运营状态：正在运营,医疗信息化,PereDoc是一款基于机器深度学习技术的智能影像辅助诊断平台。通过标注有病理证实肺结节特征，建立3DCT标注影像数据库，通过构建识别诊断模型的训练和验证，提高其识别准确率。北京青燕祥云科技有限公司旗下。,,,http://pic2.pedaily.cn/17/newseed/project/201712/20171219180855728.png,http://www.newseed.cn/project/62131,北京青燕祥云科技有限公司,PereDoc是一款基于机器深度学习技术的智能影像辅助诊断平台。通过标注有病理证实肺结节特征，建立3D CT标注影像数据库，通过构建识别诊断模型的训练和验证，提高其识别准确率。北京青燕祥云科技有限公司旗下。
汽车Torspeesen差速器,汽车交通,平台：其他,坐标：深圳市,官网：h-nnn.com,成立时间：201-88-10,"天使,300万,美元,需要融资",约谈,运营状态：不详,机器人汽车后服务行业及技术解决方案制造业,汽车四驱扭力分配系统的核心技术一直都掌控在捷泰格特、麦格纳、博格华纳等国际汽车配件集团手中，全时四驱的核心部件托森差速器一直掌控在丰田旗下的捷泰格特公司手中，目前没有一款自主品牌SUV装配全时四驱系统，中国汽车工业在该领域一直处于被动；现在我公司发明了不仅仅能扭矩敏感限滑，同时还具有差速转速线性敏感的限滑差速器，在功能上超越了托森差速器的单独扭矩敏感限滑，为中国自主知识产权的全时四驱系统提供了核心技术，该技术依据其扭矩敏感和转速敏感的特性命名为Torspeesen差速器。,Todd凌,凌子龙CEO,http://pic2.pedaily.cn/17/newseed/project/201712/20171220180704781.jpg,http://www.newseed.cn/project/62000,N/A,
小卖柜,生活消费,平台：其他,坐标：合肥市,官网：www.mideazn.com,成立时间：不详,"天使,4500万,人民币,融资完成",立即认领,运营状态：正在运营,O2O/本地生活,小卖柜是一家智能售货机运营商，推出了8款型号，覆盖了316L-830L的容积段，包括常温柜和低温柜的产品。基于物联网智能技术、RFID识别技术进行库存管理和订单管理，支持大量商品无序混摆。合肥美的智能科技有限公司旗下。,,,http://pic2.pedaily.cn/17/newseed/project/201712/20171220135328163.png,http://www.newseed.cn/project/62141,合肥美的智能科技有限公司,小卖柜是一家智能售货机运营商，推出了8款型号，覆盖了316L-830L的容积段，包括常温柜和低温柜的产品。基于物联网智能技术、RFID识别技术进行库存管理和订单管理，支持大量商品无序混摆。合肥美的智能科技有限公司旗下。
涵象文化,文化娱乐,平台：其他,坐标：青岛市,官网：不详,成立时间：不详,"天使,金额未透露,融资完成",立即认领,运营状态：正在运营,影视,涵象文化是一家影视制作公司，在内容类型上形成荒诞青春系列、废柴武侠系列、萌宠合家欢、城市广告以及动画系列五大类型，代表作为《海带》。,,,http://pic2.pedaily.cn/17/newseed/project/201712/20171220140445340.jpg,http://www.newseed.cn/project/62142,青岛涵象文化传媒有限公司,涵象文化是一家影视制作公司，在内容类型上形成荒诞青春系列、废柴武侠系列、萌宠合家欢、城市广告以及动画系列五大类型，代表作为《海带》。
供应站,工具软件,平台：移动应用,坐标：大连市,官网：www.供应站.com,成立时间：2017-04-25,"天使,200万,人民币,需要融资",约谈,运营状态：不详,大数据,计划经济时期，商家具备了“有”的能力；市场经济时期，商家具备了“有”和“好”的能力；共享经济时期，商家除了具备“有”和“好”的能力之外，还需要具备让消费者“获取收益”的能力。供应站可以让商家的消费者具有“获取收益”这一能力。,供应站,殷培清执行总监张新威项目架构执行总监董毅武项目策划执行总监盖祝伟总经理,http://www.newseed.cn/upload2/project/logo/201712/11155240111.jpg,http://www.newseed.cn/project/62013,N/A,
扁担网,生活消费,"平台：WEB,其他",坐标：广州市,官网：www.bdgw.cc,成立时间：不详,"天使,460万,人民币,融资完成",立即认领,运营状态：正在运营,电子商务,扁担网是一家零售店采购服务提供商，以3c品类为切入口，为线下零售店提供一站式采购服务，广州扁担信息技术有限公司旗下。,,,http://pic2.pedaily.cn/17/newseed/project/201711/20171109165920863.jpg,http://www.newseed.cn/project/61626,广州扁担信息技术有限公司,扁担网是一家零售店采购服务提供商，以3c品类为切入口，为线下零售店提供一站式采购服务，广州扁担信息技术有限公司旗下。
易未来电竞俱乐部/ 中教易未来,游戏体育,平台：其他,坐标：北京市,官网：不详,成立时间：不详,"天使,金额未透露,融资完成",立即认领,运营状态：正在运营,游戏硬件,易未来电竞俱乐部是一家电子竞技俱乐部，主要参与《反恐精英：全球攻势》项目的竞技赛事，同时俱乐部涉足《炉石传说》等电竞项目。俱乐部主要有于照衡、高志超等多个成员，隶属于中教易未来（北京）文化传媒有限公司。,,,http://pic2.pedaily.cn/17/newseed/project/201711/20171110114719249.jpg,http://www.newseed.cn/project/61635,中教易未来（北京）文化传媒有限公司,易未来电竞俱乐部是一家电子竞技俱乐部，主要参与《反恐精英：全球攻势》项目的竞技赛事，同时俱乐部涉足《炉石传说》等电竞项目。俱乐部主要有于照衡、高志超等多个成员，隶属于中教易未来（北京）文化传媒有限公司。
人才赢行招聘网,企业服务,平台：WEB,坐标：深圳市,官网：www.rcyhj.com,成立时间：2016-11-16,"天使,500万,人民币,需要融资",约谈,运营状态：不详,移动互联网互联网大数据,人才赢行招聘网，是一家以结果为导向的求职招聘服务平台。企业免费招聘，按效果贤赏求职者，面试有奖，入职有奖。开创“真招聘，真给钱”的服务新模式。,新芽网友715411,,http://www.newseed.cn/upload2/project/logo/201711/09180001406.jpg,http://www.newseed.cn/project/61631,N/A,
嵌入式AI视频分析加速芯片,硬件,平台：硬件,坐标：济南市,官网：不详,成立时间：2017-12-04,"天使,3000万,人民币,需要融资",约谈,运营状态：不详,人工智能,本项目为初创项目，旨在开发嵌入式人工智能（AI）专用加速芯片。目前AI主要通过GPU计算，实时性差，功耗高，不适用于神经网络算法，更不适用于嵌入式应用场景。本项目通过FPGA／ASIC芯片的加速方法，将服务器端或云端的AI计算转移到嵌入式前端，从而降低整个系统的30%~40%的存储、云计算等成本，同时实现系统的低功耗实时AI认知与分析功能。嵌入式AI专用加速芯片与系统商（如海康威视、大华科技等）集成，能够在安防、无人机、机器人等领域开拓出海量的市场。本项目团队由原飞思卡尔离职团队组成，具有20年丰富的芯片设计经验技术，保证项目的技术先进性和可行性。,lillysdu,,http://www.newseed.cn/upload2/project/logo/201712/04173322630.jpg,http://www.newseed.cn/project/61940,N/A,
tiantiantalk语言学习社区,教育培训,平台：移动应用,坐标：天津市,官网：itunes.apple.com/cn/app/tiantiantalk/id1313317098?l=en&mt=8,成立时间：2015-11-11,"天使,500万,人民币,需要融资",约谈,运营状态：不详,移动互联网直播语言学习,tiantiantalk是一款全面解决nativespeakers教师和学习第二外语的学生上课与社交的社群平台。目前项目主推英语和对外汉语教师模块，社群模块则是连接全球语言学习爱好者共同学习分享帮助的大社区。对于平台内的教师均严格审核资质，面试考核教学能力，让学生无需担心教师的教学水准。学生方则可根据个人甄选以及与教师间的沟通任意选择预约教师的课堂，实现师生间亦师亦友的感情纽带。,tiantiantalk,,http://www.newseed.cn/upload2/project/logo/201712/04143256711.jpg,http://www.newseed.cn/project/61936,N/A,
童画秀秀,教育培训,平台：移动应用,坐标：厦门市,官网：www.tonghuaxiuxiu.com,成立时间：2016-06-01,"天使,200万,人民币,需要融资",约谈,运营状态：不详,艺术兴趣社区兴趣教育儿童早教文件文档,童画秀秀是专业的儿童绘画存储、分享和交流平台，致力于整合儿童教育资源，为渴望绘画交流的儿童，注重子女教育的父母和实现自我价值的老师等童画兴趣人群，提供闭环一站式、个性化的内容咨询和交易服务，同时为以社区为目标客户的品牌企业提供整合营销服务。,童画秀秀,,http://www.newseed.cn/upload2/project/logo/201712/04152641720.jpg,http://www.newseed.cn/project/61937,N/A,
OctopusPlay章鱼游戏/ 齐悦齐城,游戏体育,平台：,坐标：北京市,官网：www.octopusplay.com,成立时间：不详,"天使,金额未透露,融资完成",立即认领,运营状态：正在运营,游戏发行及渠道游戏开发,北京齐悦齐城科技成立于2013年5月，是一家手机游戏开发商，旗下有游戏工作室OctopusPlay，目前产品包括全新冒险题材日式RPG游戏《芭拉芭拉大冒险》、《勇士联盟》等。,,,http://pic2.pedaily.cn/17/newseed/project/201712/20171211150234410.jpg,http://www.newseed.cn/project/62010,北京齐悦齐城科技有限公司,北京齐悦齐城科技成立于2013年5月，是一家手机游戏开发商，旗下有游戏工作室Octopus Play，目前产品包括全新冒险题材日式RPG游戏《芭拉芭拉大冒险》、《勇士联盟》等。
iBanker,文化娱乐,平台：WEB,坐标：北京市,官网：不详,成立时间：不详,"天使,金额未透露,融资完成",立即认领,运营状态：正在运营,阅读媒体,iBanker是一个金融领域在线教育平台，通过PC端和微信向金融领域在职和职前两类人群授课，内容涉及投资银行、资产管理、并购重组、行业研究、资产证券化等泛金融类专业化知识。,,,http://pic2.pedaily.cn/17/newseed/project/201712/20171211131645911.jpg,http://www.newseed.cn/project/62006,北京维创企业管理有限公司,iBanker是一个金融领域在线教育平台，通过PC端和微信向金融领域在职和职前两类人群授课，内容涉及投资银行、资产管理、并购重组、行业研究、资产证券化等泛金融类专业化知识。
HR生态圈,教育培训,"平台：WEB,移动应用",坐标：北京市,官网：不详,成立时间：2013-10-04,"天使,200万,人民币,需要融资",约谈,运营状态：不详,移动互联网电子商务职业培训人力资源,"HR生态圈是一个HR资源平台，提供培训讲座、企业内训,猎头服务,福利活动的平台",zeron,,http://www.newseed.cn/upload2/project/logo/201710/13103713020.jpg,http://www.newseed.cn/project/61292,北京智荣易通科技发展有限公司,"北京智荣易通科技发展有限公司，是一家拥有自主知识产权的新型互联网企业，专注于移动互联网+教育领域,公司现有产品是职场教育共享知识平台(微信公众号为：拼客在线),"
味Back/ 味觉方舟,生活消费,平台：其他,坐标：广州市,官网：www.weiback.cn,成立时间：不详,"天使,金额未透露,融资完成",立即认领,运营状态：正在运营,零食/饮料电子商务,味BACK专注于发行全国优质特产美食，通过对地方特产食品的挖掘、升级，为优质渠道资源提供“足够特色、优质”的食品供应，实现优质特产食品供应与精准渠道的连接。,,,http://pic2.pedaily.cn/17/newseed/project/201710/20171012164503921.jpg,http://www.newseed.cn/project/61278,味觉方舟（深圳）科技有限公司,味BACK专注于发行全国优质特产美食，通过对地方特产食品的挖掘、升级，为优质渠道资源提供“足够特色、优质”的食品供应，实现优质特产食品供应与精准渠道的连接。
