product,field,platform,location,homepage,establish_time,round,project_status,status,tags,description,contact,leadership,logo_url,url,company_name,brief_intro
四维卫浴,生活消费,平台：其他,坐标：重庆市,官网：siweilaiyi.wyw.cn,成立时间：2003-08-20,"并购,6050万,人民币,融资完成",立即认领,运营状态：正在运营,制造业,四维卫浴是一家大型卫生陶瓷基地。通过高效率运作、滚动式发展，现已是集研制、开发、生产和销售为一体的大型卫生陶瓷制造企业，公司实施“卫浴为主”的多元化发展战略，主要产业有座便器、龙头和浴室柜配套等，拥有四维（swell）、金四维（golden?swell）两大知名卫浴品牌。,,,http://pic2.pedaily.cn/newseed/project/201608/20160803154931272.jpg,http://www.newseed.cn/project/52753,重庆四维卫浴（集团）有限公司,四维卫浴是一家大型卫生陶瓷基地。通过高效率运作、滚动式发展，现已是集研制、开发、生产和销售为一体的大型卫生陶瓷制造企业，公司实施“卫浴为主”的多元化发展战略，主要产业有座便器、龙头和浴室柜配套等，拥有四维（swell）、金四维（golden?swell）两大知名卫浴品牌。
快屏网络,文化娱乐,平台：WEB,坐标：上海市,官网：www.kpwangluo.com,成立时间：2013-12-15,"并购,3.7亿,人民币,融资完成",立即认领,运营状态：正在运营,办公软件直播,"上海快屏网络科技有限公司坐落于张江软件园一期,是一家极具创业激情的创业型公司。公司汇聚了小智、小漠、诅咒、慕诗琪、碧哥等众多优质的一线知名主播，全力打造具有先进管理和优质资源的经纪人品牌。快屏网络通过商业模式的细分拓展来把握现实与网络的平衡，展望网络直播的下一个阶段，描绘更广阔的行业前景。",,,http://pic2.pedaily.cn/newseed/project/201608/20160802160127894.jpg,http://www.newseed.cn/project/52699,上海快屏网络科技有限公司,"上海快屏网络科技有限公司坐落于张江软件园一期, 是一家极具创业激情的创业型公司。公司汇聚了小智、小漠、诅咒、慕诗琪、碧哥等众多优质的一线知名主播，全力打造具有先进管理和优质资源的经纪人品牌。快屏网络通过商业模式的细分拓展来把握现实与网络的平衡，展望网络直播的下一个阶段，描绘更广阔的行业前景。"
华通云数据,信息技术,平台：WEB,坐标：杭州市,官网：www.watone.com.cn/index.php,成立时间：不详,"并购,金额未透露,融资完成",立即认领,运营状态：正在运营,互联网,华通云数据公司成立于2012年，是一家云计算综合服务提供商，目前已构建较为完善的云计算基础设施资源，业务范围包括数据中心托管（IDC）、政务专有云服务和互联网资源服务等内容。,,,http://pic2.pedaily.cn/newseed/project/201611/20161110175624234.jpg,http://www.newseed.cn/project/54733,浙江华通云数据科技有限公司,公司成立于2012年7月，致力于“云数据中心、云计算、云应用、云网络”业务的发展，是阿里云的紧密战略合作伙伴，现已发展成为一家云计算综合服务提供商。同时，公司致力于构建云计算产业生态环境，为公司后续发展奠定产业拓展空间。目前，公司已构建较为完善的云计算基础设施资源，形成6万平方米、近1万个机柜的绿色数据中心；10万多个虚拟主机的计算能力；覆盖全国主要城市的100G光平台传输骨干网络，是全国少有的拥有较为完整云计算资源的综合服务企业，并在此基础上形成三大类主要业务：一、数据中心托管（IDC）公司主要是向阿里云提供数据中心托管服务，是阿里云重要的数据中心合作伙伴。同时，公司也为杭州市政府唯一的数据中心提供托管服务。公司是浙江省数据中心托管业务的主要服务商之一。二、政务专有云服务公司率先在全国提供政务专有云服务。目前，公司是浙江省政府、杭州市政府、丽水市政府政务专有云服务的提供商，为政务信息化、智慧城市系统搭建专有云计算平台，提供计算、存储、数据库等综合服务。三、互联网资源服务业务公司通过全国骨干网络，实现了与“淘宝、天猫、微信、百度”等100个主要网站（ICP）的互联互通；也与“阿里云、腾讯云、百度云、金山云”等主要云计算平台的互联互通，从而实现与“数百万个”构建在云计算平台上网站的互联互通和汇聚，建成全国最大的互联网资源中心。公司利用互联网资源中心构建了全国广电网络宽带最大的出口中心（NAP点），为浙江、河北、福建、广西、甘肃、天津、北京等全国20多个省市广电网络提供互联网宽带出口服务。公司下一步将致力于“行业专有云应用领域”的拓展，正在探索基因测序计算与存储云、保险金融云、大规模非活跃数据存储云等产业领域。
小红帽教育,教育培训,"平台：WEB,其他",坐标：柳州市,官网：www.zgxhm.com,成立时间：不详,"并购,8.7亿,人民币,融资完成",立即认领,运营状态：正在运营,兴趣教育儿童早教,"小红帽连锁幼儿园成立于1997年9月，是由社会力量集资创办的幼儿教育连锁学校。“小红帽”以改变当地幼儿园办学条件、提高幼儿教育水平为办学宗旨，先后在全国各地创办了100多所直营小红帽幼儿园，累计投资超过10亿元人民币，目前是国内拥有直营分园最多的连锁幼儿园。“小红帽”取名于《格林童话》里的经典故事人物，小红帽、大灰狼等人物形象显现在小红帽校园的各个角落，走进校园仿佛进入一个美丽的童话世界，这是小红帽幼儿园独有的校园文化。在教学科研活动中，“小红帽”成立了由专家组成的幼儿教育研究会，专门研究当前幼儿教育的发展方向，积极探索教学新思路。《童话启蒙》、《快乐英语》是由小红帽幼儿教育研究会经过多年的教育实践编写出的两套幼儿园趣味实用性教材。通过对《小红帽》故事的延伸，把100个原创童话故事融入幼儿的学习过程中，更能提高幼儿的学习兴趣，为幼儿创造了一个愉快而轻松的学习环境，这是“小红帽”在幼教领域中倡导“童话启蒙、快乐教育”的大胆尝试。小红帽连锁幼儿园的快速发展，离不开它科学的管理及现代化的办学条件。在小红帽幼儿园里，多年的辛勤耕耘，为小红帽积累了一套完整的科学管理体系，通过引进国际先进的《客户关系管理》（CRM）不断提升办学服务水平。“您的孩子，我的宝贝”是“小红帽”在开展亲情服务活动中对家长的郑重承诺。幼儿园出色的表现先后被国家相关部门评为""全国先进幼儿园""、""中国妇女儿童喜爱的品牌""“全国AAAA服务质量信用企业”“广西著名商标”等多项荣誉称号。年轻、智慧、向上，是小红帽人都具备的特点，他们将再接再励，让小红帽这朵鲜花开遍更多需要她的地方，把最好的教育留给孩子！",,,http://pic2.pedaily.cn/newseed/project/201611/20161110140327711.jpg,http://www.newseed.cn/project/54727,柳州市小红帽教育投资咨询有限公司,小红帽连锁幼儿园成立于1997年9月，是由社会力量集资创办的幼儿教育连锁学校。“小红帽”以改变当地幼儿园办学条件、提高幼儿教育水平为办学宗旨，先后在全国各地创办了100多所直营小红帽幼儿园，累计投资超过10亿元人民币，目前是国内拥有直营分园最多的连锁幼儿园。
陕西诚长信息咨询,教育培训,平台：WEB,坐标：陕西省,官网：暂无,成立时间：20-09-03,"并购,2893万,人民币,融资完成",立即认领,运营状态：正在运营,办公软件体育培训行业及技术解决方案,陕西诚长信息咨询是一家教育软件解决方案，致力于为中小学提供优质的家庭教育咨询和教育培训，曾负责陕西校讯通业务等。,,,http://pic.pedaily.cn/newseed/project/20150827/20150827102254931.png,http://www.newseed.cn/project/34573,陕西诚长信息咨询有限公司,陕西诚长信息咨询是一家教育软件解决方案，致力于为中小学提供优质的家庭教育咨询和教育培训，曾负责陕西校讯通业务等。
图为媒,信息技术,平台：WEB,坐标：北京市,官网：www.1tu.com,成立时间：不详,"并购,337万,人民币,融资完成",立即认领,运营状态：正在运营,互联网,北京图为媒科技股份有限公司主营业务为依托互联网版权交易平台（壹图网），通过提供便捷、高效的信息传播服务，连接正版视觉素材的提供方和需求方，以实现有效的线上互动、达成交易。公司提供服务的主要内容为版权图片等视觉素材。视觉素材的内容属性为创意类，是内容产业的核心组成部分，也是文化创意产业发展的基本要素。,,,http://pic2.pedaily.cn/newseed/project/201611/20161121182523849.jpg,http://www.newseed.cn/project/54863,北京图为媒科技股份有限公司,北京图为媒科技股份有限公司主营业务为依托互联网版权交易平台（壹图网），通过提供便捷、高效的信息传播服务，连接正版视觉素材的提供方和需求方，以实现有效的线上互动、达成交易。公司提供服务的主要内容为版权图片等视觉素材。视觉素材的内容属性为创意类，是内容产业的核心组成部分，也是文化创意产业发展的基本要素。
中影文化,文化娱乐,平台：WEB,坐标：杭州市,官网：www.joinzy.com,成立时间：2002-12,"并购,1.29亿,人民币,融资完成",立即认领,运营状态：正在运营,广告营销户外/极限运动,浙江中影是一家专业从事广告全案服务及电视、网络、广播、户外、杂志等全媒体广告经营的综合型广告公司。,,,http://pic.pedaily.cn/newseed/projectlogo/201507/20150725@133937.jpg,http://www.newseed.cn/project/38896,浙江中影文化发展有限公司,浙江中影是一家专业从事广告全案服务及电视、网络、广播、户外、杂志等全媒 体广告经营的综合型广告公司。
友拓公关,生活消费,平台：WEB,坐标：北京市,官网：www.utoppr.com,成立时间：2010-12,"并购,4.6亿,人民币,融资完成",立即认领,运营状态：正在运营,媒体医药消费金融能源环保公共出行互联网,友拓公关是一家提供公共关系服务的专业机构，目前合作客户涉及快速消费品、金融、IT、通信、能源、地产、互联网、医药八大领域。服务内容包括战略顾问、策略咨询、危机公关、媒体关系、品牌管理、事件行销、互动营销、创意执行等。,,,http://pic.pedaily.cn/newseed/projectlogo/201506/20150611@125228.jpg,http://www.newseed.cn/project/35563,上海友拓公关顾问有限公司,友拓公关是一家提供公共关系服务的专业机构，目前合作客户涉及快速消费品、金融、IT、通信、能源、地产、互联网、医药八大领域。服务内容包括战略顾问、策略咨询、危机公关、媒体关系、品牌管理、事件行销、互动营销、创意执行等。
万威国际IDT,硬件,平台：WEB,坐标：香港,官网：www.idthk.com,成立时间：不详,"并购,4.6亿,人民币,融资完成",立即认领,运营状态：正在运营,,万威国际有限公司（英语：IDTInternationalLimited，港交所：0167）是一家主打液晶电子产品的公司，生产及销售“OregonScientific”、“IDT”等名牌电子产品，1988年在香港上市。,,,http://pic.pedaily.cn/newseed/projectlogo/201506/20150611@122747.jpg,http://www.newseed.cn/project/35315,万威国际有限公司,万威国际有限公司（英语：IDT International Limited，港交所：0167）是一家主打液晶电子产品的公司，生产及销售“Oregon Scientific”、“IDT”等名牌电子产品，1988年在香港上市。
天象互娱,游戏体育,平台：WEB,坐标：成都市,官网：www.crimoon.net/index.html,成立时间：不详,"并购,1.5亿,人民币,融资完成",立即认领,运营状态：正在运营,移动互联网互联网,"成都天象互动数字娱乐有限公司成立于2012年，是一家以移动互联网娱乐应用研发,运营为主的科技公司。",,,http://pic2.pedaily.cn/newseed/project/201611/20161117094441620.jpg,http://www.newseed.cn/project/54821,成都天象互动数字娱乐有限公司,"成都天象互动数字娱乐有限公司成立于2012年,是一家以移动互联网娱乐应用研发，?运营为主的科技公司。公司倡导狼性企业文化,注重员工培训，职业规划以及后期企业人才储备。虽然我们是一家年轻的公司，但是我们快速成长并充满活?力。我们的目标是集合国际领先的技术管理优势和遍及全中国的优秀人才，创建质量上乘，制作精良的消费类软件应用产品，立足国内市场，并多方位投放?欧洲和北美等竞争激烈的国际市场。我们专注于移动互联网软件，移动平台应?用的产品研发，运营等领域。 我们渴望各类优秀的美术设计师，策划师和开发?工程师，项目管理等顶尖人才能加入到我们位于成都高新区的工作室。我们在?快节奏并充满活力的工作氛围中，从事富有挑战性的工作。我们团队的成员来?自全国各地不同城市，他们拥有不同背景，其中许多成员拥有丰富的工作经?验。每一个加入我们团队的人，都为公司的工作流程的专业化和创新性贡献自?己的力量。"
