product,field,platform,location,homepage,establish_time,round,project_status,status,tags,description,contact,leadership,logo_url,url,company_name,brief_intro
CoinMee,房产金融,平台：WEB,坐标：中国,官网：www.coinmeet.io,成立时间：不详,"种子,金额未透露,融资完成",立即认领,运营状态：正在运营,互联网金融,CoinMeet是一款区块链数字资产管理应用，通过密码学等技术实现端对端消息的加密通讯，采用生物识别技术对用户身份进行认证，为用户提供数字资产管理及通讯服务，并基于位置的地理信息技术提供本地生活、消费支付、社交等服务。,,,http://pic2.pedaily.cn/17/newseed/project/201712/20171218133802984.png,http://www.newseed.cn/project/62107,N/A,
万年生物,医疗健康,平台：硬件,坐标：深圳市,官网：www.waniansw.com,成立时间：2017-11-06,"种子,100万,人民币,需要融资",约谈,运营状态：不详,健康保健医疗信息化医药生物技术,"WANIANSW-万年生物-只为让你睡一个安稳觉,万年生物致力于大健康产业发展,为生命提供更科学数据,打造健康产业民生工程",小琦,梁敏琦总经理,http://www.newseed.cn/upload2/project/logo/201712/16143526666.jpg,http://www.newseed.cn/project/62095,N/A,
微馆体能,医疗健康,平台：移动应用,坐标：北京市,官网：不详,成立时间：2017-12-18,"种子,200万,人民币,需要融资",约谈,运营状态：不详,移动互联网大数据人工智能直播互联网金融,分时微场馆体能健康训练.线上教学.体育产业健康体能数据。商业模式：以微馆体能健康训练为切入口的健康体能大数据（体育保险）与体育专项平台展示与预约公司。一家健康训练的科技公司，管理健康体能的数据公司。把微馆体能打造成体育产业的滴滴打车（全国微场馆共享体能训练）与体育产业的阿里巴巴功能（通过专项体能训练客户群体与体育民间赛事，体育小镇，专项运动场馆高度重叠）还有支付宝（传统健身行业私教课程付费体系对会员的保证度低，微馆体能APP线上完全保护私教会员的私教费用与权益）,贾禹泰|微馆健 创始人,,http://www.newseed.cn/upload2/project/logo/201712/18092200243.jpg,http://www.newseed.cn/project/62104,N/A,
韩杉,企业服务,"平台：WEB,其他,移动应用",坐标：上海市,官网：不详,成立时间：2017-12-20,"种子,500万,人民币,需要融资",约谈,运营状态：不详,移动互联网互联网大数据,创造一个可设计、分享、消费、收益的服装社交平台旨在为每个人的创作提供可能并从中收取费用满足需求：年轻人们对服装个性化的心理需求，但只有极少部分人去实际做这件事，项目就是瞄准了这些巨大的潜在用户1、闭环营销2、具有强大的规模效应3、有不错的营销模式4、定位主体但不局限：年轻人（-16~30+）,摘花少年,,http://www.newseed.cn/upload2/project/logo/201712/20120645240.jpg,http://www.newseed.cn/project/62139,N/A,
亿秒购,生活消费,"平台：移动应用,WEB",坐标：南昌市,官网：www.emiaog.com,成立时间：2017-02-16,"种子,600万,人民币,需要融资",约谈,运营状态：未上线,移动互联网互联网电子商务,链接线下亿万实体店铺，帮助线下实体店铺搭建线上交易平台，未来购物就像叫外卖一样简单快速。,文之星,邹文杰创始人,http://www.newseed.cn/upload2/project/logo/201708/20122230291.jpg,http://www.newseed.cn/project/60535,N/A,
天梦飘香,生活消费,平台：其他,坐标：南京市,官网：不详,成立时间：2017-12-19,"种子,1500万,人民币,需要融资",约谈,运营状态：不详,互联网餐饮电子商务,建立线上加盟商体系（建立一个类似于滴滴打车的一个工会运营加盟平台），同时建立线上销售体系。线下建立直营店及加盟店体系一旦建立将不断的植入更多的产品模块，前期第一个植入的产品模块为奶茶产品系列。,流浪的云,杨浩董事长兼CEO,http://www.newseed.cn/upload2/project/logo/201712/20155823294.jpg,http://www.newseed.cn/project/62146,N/A,
记忆画卷,工具软件,平台：WEB,坐标：北京市,官网：www.tea2lovers.com,成立时间：2015-08-18,"种子,200万,人民币,需要融资",约谈,运营状态：不详,移动互联网互联网大数据,记忆画卷是一款生活、工作记录软件，同时用户可以将记录转换成视频、pdf、电子书！,张正乾,,http://www.newseed.cn/upload2/project/logo/201712/09115732758.jpg,http://www.newseed.cn/project/61996,N/A,
智慧教育共享平台,教育培训,"平台：WEB,移动应用",坐标：北京市,官网：不详,成立时间：2017-12-20,"种子,300万,人民币,需要融资",约谈,运营状态：不详,互联网,实现对当今资源的整合，创建一个一流的共享平台,新芽网友721365,,http://www.newseed.cn/upload2/project/logo/201712/20161656667.jpg,http://www.newseed.cn/project/62148,N/A,
飞马共享图书,教育培训,"平台：移动应用,其他",坐标：洛阳市,官网：不详,成立时间：2017-10-16,"种子,75万,人民币,需要融资",约谈,运营状态：不详,移动互联网阅读儿童早教,产品以共享模式运营，面向3-14岁儿童提供图书共享服务，以社区零售和儿童服务门店为入口，投放智能书架和图书，用返佣，奖励和进店流量调动客户积极性，让每个合作老板都成为公司BD，实现精准投放，快速推广。,激情的蟑螂,赵原缘CEO王富恩COO陈楠CTO,http://www.newseed.cn/upload2/project/logo/201712/19110636852.jpg,http://www.newseed.cn/project/61469,N/A,
共享金融领赢科技,房产金融,平台：WEB,坐标：上海市,官网：www.shareby.us/shizi/index,成立时间：2017-07-10,"种子,200万,人民币,需要融资",约谈,运营状态：不详,大数据直播兴趣社区金融科技互联网金融,改变当前假大空的老师讲课模式以真实数据的共享化简化投资,苏金坤,苏金坤销售崔树熠技术,http://www.newseed.cn/upload2/project/logo/201711/09115248809.jpg,http://www.newseed.cn/project/61609,N/A,
