深圳市龙岗区卡祺娜服装商行,服装加工服装生产服装销售,生产制造,中国广东省深圳市龙岗区布吉街道长龙社区长春街234号一楼,"深圳市龙岗区卡祺娜服装商行是衣服、包包等产品专业生产加工的公司，拥有完整、科学的质量管理体系。深圳市龙岗区卡祺娜服装商行的诚信、实力和产品质量获得业界的认可，我们将继续坚持""以人为本，...（）",陈良先生（经理）,13925572218,"主营产品：服装加工，服装生产，服装销售业务范围：女式T恤；男式T恤；童T恤经营模式：生产制造是否提供对外加工定制：是员工人数：51 ~ 200人营业额：人民币81万 - 500万厂房面积：1000平方米主要市场：东北, 港澳台, 华北, 华东, 华南, 华中, 西北, 西南年出口额：人民币101万元 - 200万元质量控制：内部管理体系认证：ISO9001会员注册：第1年最近登录日期：2017-03-08"
深圳市钊远通讯技术有限公司,智能手环智能手表,生产制造,龙华新区,深圳钊远通讯技术有限公司，是一家智能终端高新技术企业，企业力争走在高新科技前沿。钊远通讯致力于智能电子穿戴设备的研发、生产和销售。产品主要涵盖智能手环、智能手表等。我们有最优秀的研发团队，广泛的销...（）,洪小姐女士,13040862395,"主营产品：智能手环，智能手表，运动手环业务范围：其它穿戴式智能设备；智能计步器；智能手表；智能手环、运动手环；智能手镯经营模式：生产制造是否提供对外加工定制：是员工人数：51 ~ 200人主要市场：华东, 华北, 华中, 东北, 华南, 港澳台, 西南, 西北, 上海, 江苏会员注册：第2年最近登录日期：2016-10-30"
深圳开亚软件科技有限公司,管理软件,生产制造,中国广东省深圳市高新区产业园南区留学生大厦1301室,我公司开发的《开亚外贸管理系统》、《展会报价系统》、《邮件安全管理系统》是专门针对国内现行外贸行业的特点而开发的，系统界面简单、流程清淅，功能完善，我公司深入了解外贸企业的需求，坚持软件版本的不断...（）,李兰女士（销售员）,755-26645229-807,公司关键词：外贸管理软件业务范围：计算机数码产品经营模式：生产制造员工人数：5 ~ 50人会员注册：第11年最近登录日期：2010-10-14
深圳市美创达诚安检设备有限公司,金属探测门手持金属探测器车底检查镜,生产制造,中国广东省深圳市龙岗区平湖镇鹅公岭春湖工业区7栋4楼,"深圳市美创达诚安检设备有限公司,中国知名安检品牌，广东省政府扶持企业，深圳自主创新型企业，目前全国拥有20多家分公司、经销商，是一家专注于安检设备集研发、生产、销售为一体的龙头企业。...（）",刘先生,0755-28459832,"主营产品：安检机，安检门，手持金属探测器业务范围：安检门；安检探测器；其它安全检查设备；车辆检测仪；其它交通检测设备；其它军需用品；安全检查设备；电子报警安全装置经营模式：生产制造是否提供对外加工定制：是员工人数：51 ~ 200人营业额：人民币2,001万 – 5,000万厂房面积：20000平方米年出口额：人民币51万元 - 100万元质量控制：内部会员注册：第3年最近登录日期：2015-09-05"
深圳市摩士龙实业有限公司,移动电源USB风扇蓝牙防丢器,生产制造,坂田上雪科技园科技一路四号整栋,深圳市鑫盛锦明科技有限公司是一家集研制、开发、生产、销售于一体的高科技民营企业，专业从事计算机周边设备、笔记本电脑及电子数码产品。多年来，致力于信息化，科技化电子产业发展，凝聚了一支朝气蓬勃、勇于...（）,刘海少女士,18127571171,"主营产品：移动电源，自拍杆，USB风扇业务范围：蓝牙设备；数据线、连接线；笔记本电脑及配件；音箱；存储设备；USB周边产品；电脑配件；数码产品；数码配件；手机及配件经营模式：生产制造是否提供对外加工定制：是员工人数：51 ~ 200人营业额：人民币40,001万以上厂房面积：2000平方米主要市场：东欧, 华东, 华北, 华中, 东北, 华南年出口额：人民币5001万元 - 1亿元质量控制：内部管理体系认证：ISO9001会员注册：第2年最近登录日期：2016-06-23"
君事达实业（深圳）有限公司,品牌折扣童装折扣品牌女装,贸易批发,中国广东省深圳市新木社区金星路一栋三层,深圳欧时力/女装免费加盟/一手货源女装尾货批发/性价比最高现有珂琳棉衣依目棉衣三彩迪卡轩宠爱女人秋水伊人依目了然迪斯康娜妮恒美艾芙丽梦梅凡恩等品牌女装货品均为品牌原单库存，所...（）,陈明菊女士（业务员）,0755-6680497,"主营产品：折扣品牌女装，品牌折扣男装，品牌折扣童装业务范围：库存服装；腰带和腰带饰物；儿童服装；裙子；袜子；西装、职业装、中山装；T恤；内衣及附件；亲子装；上装经营模式：贸易批发员工人数：51 ~ 200人营业额：人民币81万 - 500万仓库面积：50000平方米主要市场：重庆, 广东, 广西, 贵州, 湖北, 四川, 云南, 浙江年出口额：人民币10万元 - 30万元质量控制：内部管理体系认证：ISO9001会员注册：第2年最近登录日期：2016-06-13"
深圳君华物流有限公司,物流,商业服务,广东省深圳市南山区,物流公司热线（英语：Logisticscompanies）是一种运输、货运、物流公司的类型；全国泛指经营物流相关的运输、仓储、配送等行业的公司。物流公司常在供货商与零售业者之间扮演集货、理货、库...（）,王先生,086-0755,主营产品：物流业务范围：国内陆运经营模式：商业服务员工人数：5 ~ 50人营业额：人民币81万 - 500万会员注册：第2年最近登录日期：2017-01-05
外贸物流学习网,物流培训,其它组织,深圳市南山区艺园路38号,外贸物流学习网聚集外贸物流领域的专家和经验丰富的职业经理人，凭借丰富的外贸物流培训资源将具体的面对面现场培训与网络职业培训结合起来，提供现场职业认证培训、独具特色的专业视频课程和精辟独到的文章资料...（）,陈少女女士,0755-33202562,公司关键词：外贸物流培训业务范围：服务经营模式：其它组织会员注册：第11年最近登录日期：2007-04-19
香港Iris伊利丝服饰有限公司,服装,生产制造,中国广东省深圳市宝安区,我公司有大批外贸服装和精品鞋订购批发，款式新颖，价格超低，并有大量清仓服5元起，深圳或其它地方的商家可直接与本公司市场部负责人联系。,周女士,0755-83156500,公司关键词：服装，鞋业务范围：服装饰件经营模式：生产制造会员注册：第10年最近登录日期：2009-05-08
信达雅科技（广州）有限公司,分销管理软件客户管理软件物流管理软件,贸易批发,中国广东省深圳市,深圳信达雅科技有限公司以高科技为龙头，技术为核心，聚集了管理、通信、多媒体、互联网、数据库以及软件工程等方面的专业人才，致力于研发具有厚重的技术实力和核心自主知识产权的软件视频会议系统和企业管理系...（）,刘女士,0755-28585282,公司关键词：外贸管理软件，客户管理软件，进销存业务范围：服装饰件；工艺品；化工；计算机数码产品；消费电子；电工电气；轻工日用品；服务；五金工具；玩具经营模式：贸易批发会员注册：第10年最近登录日期：2009-09-17
