常州漫道图像技术股份有限公司,漫道图像,2017.6.20,新三板,未透露,企业服务销售营销,不明确,江苏常州,郑浩董事长兼总经理,
北京新航海在线网络科技有限公司,新航海在线Stager Live,2017.6.19,A轮,数千万人民币,文化娱乐视频,15-30人,北京海淀区,王海CEO,
苏州阿格斯医疗技术有限公司,阿格斯,2017.6.19,A轮,3000万人民币,医疗健康医疗器械及硬件,不明确,江苏苏州,肖典董事长,
浙江兴达讯软件股份有限公司,兴达讯,2017.6.16,新三板,未透露,企业服务其他企业服务,不明确,浙江台州,周建国董事长,
和创（北京）科技有限公司,红圈营销(和创科技),2017.6.15,IPO上市后,2.1亿人民币,企业服务销售营销,300-500人,北京海淀区,刘学臣CEO,
北京慧博科技有限公司,慧博科技,2017.6.15,天使轮,数百万人民币,企业服务数据服务,50-100人,北京朝阳区,宋铁丽执行董事,http://www.jkcrm.cn
深圳八零赞电子商务有限公司,轻生活卫生巾,2017.6.14,A轮,数千万人民币,电子商务综合电商,30-50人,广东深圳,李迨楠CEO张致玮COO,http://www.qin-life.com
温州超神互动网络科技有限公司,超神互动,2017.6.13,战略投资,3亿人民币,教育职业培训,不明确,浙江温州,戴文学CEO兼总经理,
上海翰迪数据服务有限公司,翰迪数据,2017.6.13,战略投资,3450万人民币,金融金融信息化,不明确,上海浦东新区,祁勇祥董事长,
上海八度网络科技有限公司,超级售后,2017.6.12,天使轮,3000万人民币,本地生活维修服务,不明确,上海嘉定区,周汉东CEO,
捷翔饮品（上海）有限公司,捷翔饮品,2017.6.9,Pre-B轮,数千万人民币,本地生活其他生活服务,不明确,上海浦东新区,王根祖CEO,
深圳星聚网络技术有限公司,星云PeerStar,2017.6.8,Pre-A轮,560万人民币,企业服务IT基础设施,50-100人,广东深圳,王智勇CEO,http://www.peerstar.cn
杭州中涵文旅信息技术有限公司,驴咖来了,2017.6.7,天使轮,200万人民币,旅游主题特色游,不明确,浙江杭州,俞昌火CEO兼总经理,
北京优势财富科技有限公司,铂诺理财,2017.6.6,B轮,数千万人民币,金融理财,100-150人,北京海淀区,伍运川董事长简毅CEO吴卓浩联合创始人,
深圳可思美科技有限公司,可思美,2017.6.5,B轮,数千万人民币,硬件可穿戴设备,不明确,广东深圳,黄万富CEO兼总经理,
未来域(中国)控股有限公司,未来域,2017.6.8,B轮,2亿人民币,房产服务租房,5人以下,北京朝阳区,,
上海发车信息技术有限公司,恭喜发车,2017.6.2,A轮,8000万人民币,汽车交通汽车电商,100-150人,上海闵行区,,
上海动搜网络科技有限公司,51GIF,2017.6.2,天使轮,100万美元,工具软件搜索引擎,不明确,上海浦东新区,MINGU KANG董事长,
西安小白兔口腔医疗股份有限公司,小白兔,2017.6.2,新三板,未透露,医疗健康专科服务,不明确,陕西西安,李玉红CEEO兼总经理,
暂未收录,开普乐Kaipule,2017.6.4,天使轮,600万人民币,金融投融资,15-30人,上海浦东新区,周俊CEO,
北京同城必应科技有限公司,闪送,2017.6.5,C+轮,5000万美元,物流同城配送,100-150人,北京海淀区,薛鹏CEO茹海波联席CEO,
广州修客信息科技有限公司,加速度,2017.6.5,Pre-A轮,数千万人民币,本地生活维修服务,10-15人,广东广州,黄松炳CEO,
重庆省心宝科技有限公司,重庆省心宝汽车,2017.6.5,Pre-B轮,数千万人民币,汽车交通汽车电商,150-300人,重庆渝北区,刘毅创始人,
寻田网络科技（上海）有限公司,寻找田野,2017.6.5,Pre-A轮,1000万人民币,电子商务生鲜食品,30-50人,上海静安区,朱震CEO,
北京迅达云成科技有限公司,SpeedyCloud迅达云成,2017.6.5,B轮,1亿人民币,企业服务IT基础设施,150-300人,北京朝阳区,王斌CEO于浩运营副总裁,
北京昱新科技有限公司,云朵课堂,2017.6.5,A轮,数千万人民币,教育教育信息化,50-100人,北京朝阳区,李昱创始人,
北京杰丰瑞特文化传媒有限公司,汇牛,2017.6.5,A轮,4000万人民币,广告营销整合营销传播,15-30人,北京丰台区,姜磊创始人刘孝飞CTO,http://www.ihuiniu.com/
未名企鹅（北京）科技有限公司,未名企鹅,2017.6.5,A+轮,数千万人民币,医疗健康医药电商,15-30人,北京海淀区,邹晓亮创始人,
深圳市迈迪加发展有限公司,Sleepace享睡,2017.6.5,B+轮,5000万人民币,医疗健康医疗器械及硬件,100-150人,广东深圳,黄锦锋总经理,
北京阿拉丁未来科技有限责任公司,阿拉丁小程序统计平台,2017.6.5,天使轮,1000万人民币,企业服务数据服务,30-50人,北京朝阳区,史文禄CEO,http://www.aldwx.com
河南一步用车科技有限公司,一步用车,2017.6.5,A轮,1.35亿人民币,汽车交通交通出行,50-100人,河南郑州,尚昊峰董事长田海玉CEO,
杭州势然网络科技有限公司,程序员客栈,2017.6.6,天使轮,300万人民币,企业服务人力资源,15-30人,浙江杭州,陈柯好CEO,
北京爱康鼎科技有限公司,爱康鼎噼里啪智能财税,2017.6.6,A轮,7800万人民币,企业服务财务税务,50-100人,北京朝阳区,樊祎CEO,
上海熙香投资管理有限公司,熙香小厨,2017.6.6,A轮,数千万人民币,本地生活美食餐饮,150-300人,上海长宁区,刘蕴熙CEO,
润东医药研发（上海）有限公司,润东医药,2017.6.6,B轮,亿元及以上人民币,医疗健康医疗综合服务,不明确,上海浦东新区,姜世新董事长,
时尚小鬼头（北京）科技有限公司,樱桃来了,2017.6.6,天使轮,数百万人民币,文化娱乐视频,10-15人,北京朝阳区,肖竞CEO,
中影年年（北京）文化传媒有限公司,中影年年,2017.6.6,A轮,数千万人民币,文化娱乐动漫,150-300人,北京昌平区,郭勇创始人钱晓宇总经理,
海南传奇智力体育科技有限公司,传奇扑克,2017.6.6,Pre-A轮,1500万人民币,游戏游戏媒体及社区,不明确,海南海口,陈杰创始人,
深圳市酷开网络科技有限公司,酷开,2017.6.6,战略投资,3亿人民币,硬件消费电子,100-150人,广东深圳,王志国CEO,http://www.coocaa.com
神州优车（天津）有限公司,神州专车(神州优车),2017.6.6,战略投资,24亿人民币,汽车交通交通出行,500-1000人,天津滨海新区,邸烁首席战略官,http://www.10101111.com
广东翼卡车联网服务有限公司,翼卡车联网,2017.6.6,A轮,4000万人民币,汽车交通车联网及硬件,100-150人,广东佛山,殷建红总经理,
北京农田管家科技有限责任公司,农田管家,2017.6.7,A轮,5000万人民币,农业新型农业系统,30-50人,北京海淀区,余洋CEO,
