 货运司机,B2驾驶员包吃住月入5千 ,  招2人 ,上海松江洞泾,上海俊中快递服务有限公司,交通/运输/物流,1000人以上
 货运司机,5k+驾驶员 ,  招2人 ,上海嘉定外冈,上海贯联信息科技有限公司,互联网/电子商务+快速消费品(食品/饮料等),50-99人
 货运司机,包住诚招驾驶员 ,  招2人 ,上海南汇,上海予岩实业有限公司,钢铁/机械/设备/重工+电子技术/半导体/集成电路+其他行业,1-49人
 货运司机,双证危险品驾驶员包食宿 ,  招3人 ,上海浦东周浦,上海俊逢电子商务有限公司（俊逢电子商务）,娱乐休闲/餐饮/服务+交通/运输/物流+互联网/电子商务,1-49人
 货运司机,招合作司机首付2万高收入 ,  招10人 ,上海宝山,上海荣嘉汽车租赁有限公司,租赁服务,500-999人
 货运司机,挂车货运司机 ,  招10人 ,上海青浦,广东新邦物流有限公司,交通/运输/物流,1000人以上
 货运司机,C1以上货运司机 ,  招20人 ,上海宝山杨行,上海豪滴汽车租赁服务有限公司,能源(电力/水利/矿产),1000人以上
 货运司机,物流司机 ,  招5人 ,上海浦东,上海普朗广告有限公司,交通/运输/物流+广告/创意+公关/市场推广/会展,50-99人
 货运司机,营运Y牌+以租代购+全款 ,  招30人 ,上海徐汇,上海妙玛汽车租赁有限公司,交通/运输/物流+汽车/摩托车,100-499人
 货运司机,景联路德邦5到8千快递员 ,  招5人 ,上海闵行马桥,德邦（上海）运输有限公司（德邦物流）,交通/运输/物流,1000人以上
 货运司机,急招货车司机包吃住 ,  招20人 ,上海松江,凯胜（上海）电脑有限公司,中介/专业服务,1000人以上
 货运司机,高薪急聘长途司机 ,  招10人 ,上海青浦徐泾,北京华欣物流有限公司,交通/运输/物流,500-999人
 货运司机,司机5千到7千+交金 ,  招10人 ,上海南汇康桥,两鲜商贸（上海）有限公司,互联网/电子商务,100-499人
 货运司机,司机 ,  招1人 ,上海徐汇徐家汇,瑟美（上海）医疗投资有限公司,生物/制药/医疗器械,1-49人
 货运司机,B2司机 ,  招10人 ,上海嘉定嘉定周边,上海轩宝物流有限公司,交通/运输/物流,1-49人
 货运司机,招营运货运车司机 ,  招50人 ,上海宝山,上海豪滴汽车租赁服务有限公司,租赁服务,100-499人
 货运司机,驾驶员+维修学徒工 ,  招5人 ,上海闵行七宝,上海中飞办公设备有限公司,计算机硬件+办公用品及设备+批发/零售,50-99人
 货运司机,招c照司机包食宿上六休一 ,  招3人 ,上海嘉定外冈,苏州国业达货运代理有限公司,交通/运输/物流,100-499人
 货运司机,货运车带货源外包 ,  招50人 ,上海宝山水产路,上海荣嘉汽车租赁有限公司,租赁服务,1000人以上
 货运司机,京东 急招B2驾驶员+可住 ,  招15人 ,上海青浦,众大亚洲人才资源开发（上海）有限公司,人力资源服务,500-999人
 货运司机,直招带车司机9千有住 ,  招15人 ,上海闵行莘庄,上海酷采供应链管理有限公司,娱乐休闲/餐饮/服务+交通/运输/物流,100-499人
 货运司机,宝山电动车换电瓶 ,  招20人 ,上海宝山,上海享骑电单车服务有限公司,中介/专业服务+人力资源服务,500-999人
 货运司机,物流司机 ,  招2人 ,上海青浦华新镇,上海宅急送物流有限公司,交通/运输/物流,1000人以上
 货运司机,招合作司机收入有保障 ,  招20人 ,上海宝山,上海豪滴汽车租赁服务有限公司,租赁服务,100-499人
 货运司机,快递司机 ,  招2人 ,上海青浦赵巷,上海熊昶实业有限公司,互联网/电子商务,100-499人
