上海鹤奔物流有限公司,"上海鹤奔物流有限公司是专业第三方物物流,整车,零担,全国货运."
上海铭辉物流有限公司,上海铭辉物流有限公司
上海蓝卡物流有限公司,蓝卡物流成立于2003年，公司拥有自运营车辆8部，包括16米箱式车，9.6米到4.2米车辆。公司主要运营上海到苏州，无锡，常州，宜兴，太仓，张家港，江阴等苏南地区专线卡班运输。同时拥有1000平米的结构仓库提供仓储堆放，分捡拆箱和理货贴标等三方物流服务。高效/准时/安全是公司一贯执行的物流标准。
上海铭辉物流有限公司,上海铭辉物流有限公司，上海至，揭阳，汕头，普宁，汕尾等全境往返专线
上海茂丰物流有限公司,"上海茂丰物流有限公司前身是上海茂涌同位素技术有限公司，上海茂涌同位素技术有限公司于2008年成立于上海。主要经营放射源销售和运输工作，后因业务迅速发展，以及响应上海市交通委、上海市道路危险货物运输运管处的规定，于2014年独立成立上海茂丰物流有限公司。上海茂丰物流有限公司注册成立于上海市浦东新区外高桥保税区，法人代表赵红，注册资本1600万。主要运营机构在浦东川沙，毗邻浦东国际机场。我司主营放射性同位素与核医药的中长途运输以及市内配送业务。具备国家相关管理部门核发的七类放射性物品运输资质，拥有规范的运输车辆以及资质齐全、经验丰富的司押和管理人员。我司在上海市交通会、市运管处、市协会，2016年度被评为上海市危险道路运输三A企业单位。上海茂丰物流有限公司运输案例简介与公司简介公司法人：赵红公司总经理：王文胜公司副总经理：施国良近期签订运输案例：2017年我司和上海市辐射环境监督站签订上海市各企业和各大医院的放射性废物（源）的处置运输服务，将上海市的放射性废物（源）统一运输至上海宝山放射性废物库。我司具备合法有效的放射性物品运输营运资格，且运输人员均持有合法有效的上岗证。在接到上海市辐射环境监督站的运输计划后第一时间按要求组织运力：按规定事先办理放射性物品道路运输通行证，经公安机关批准后，放射性废物（源）运输车辆按公安指定时间、路线、速度行驶，途中不得无故停留；运输工具设置放射性警示标志，配备押运人员，使放射性物品处于押运人员的监管之下；并确保所载放射性废物（源）从装车、运输至卸车全过程的安全；启运前对驾驶室及车厢外表面进行辐射剂量监测并做好存档；对运输车辆实施全程（GPS）监控直至交库完毕。我司在上海市辐射环境监督站的主导下，为了协助加强对放射性物品事故的有效控制，最大限度地降低事故危害程度，保障人民财产生命安全，保护辐射环境安全，我司专设了一辆应急专用车，无条件协助有关部门的应急处理，排除可能存在的安全隐患，为城市辐射环境安全献一份力。我司拥有专业的运输车队跟调度管理人员，并整合我们自己供应商的资源，通过模式设计和规划确定运输方式、配载方案和使用运输工具,为确保车辆安全运行，有可靠的技术保障，规范公司营运车辆GPS安全监控系统的使用和管理，切实提高运输车辆安全管理现代化水平，公司根据《道路运输车辆动态监督管理办法》（中华人民共和国交通运输部、中华人民共和国公安部、****生产监督管理总局令2015年第5号）和《上海市道路危险货物运输车载卫星定位系统使用和管理规定》（沪交{2008}47号），运输车载卫星定位系统使用《关于进一步加强本市道路危险货物运输车辆车载卫星定位系统使用和管理的通知》及2015年8月29日，第十二届全国人大常委会第十六次会议通过了《刑法修正案（九）》等国家有关规定，特制定了卫星定位监控系统管理制度。采用对车辆在途进行可视化管理，加强对车辆人员的控制和调配能力，提高资源利用率,最终达到资源使用的最优化，提高服务水平和降低运输成本。鉴于我国交通的复杂性以及放射性物品道路运输的重要性与特殊性，根据国家《放射性物品道路运输管理规定》等相关法律法规和公安、环保等主管部门的要求，我司特已制定上海茂丰物流有限公司放射性物品公路运输应急预案；每年我司应急领导小组会组织对应急成员的应急培训，没人每年不低于8学时，包括应急预案、辐射防护常识、行动程序等内容的培训。以此加强我司放射性物品公路运输安全管理，保障放射性物品安全，在遇有交通事故、盗抢、恐怖袭击、火灾、自然灾害等非辐射与辐射应急事故时能够快速反应、妥善处置，避免或减少损失。我司主营放射性同位素与核医药的中长途运输以及市内配送业务，具备国家相关管理部门核发的七类放射性物品运输资质，拥有规范的运输车辆以及资质齐全、经验丰富的司押和管理人员。有能力承接上海市各大医院、企业等涉及放射性药物的配送业务。"
上海利睿物流有限公司,"上海利睿物流有限公司是一家集专线运输，,快递服务,信息服务，物流配送为一体的货运企业。本公司主要经营物流,货运,运输,长途,短途，整车，零担，厂家搬家，长途搬家，个人搬家，包装等。公司下设市内配送部和外运部，拥有厢式货车、敞车2.2米4.2米5.2米、8米、9.6米、12米、15米等货车数百辆。超宽、超长，超重的大件运输车50余辆。公司以优质、快捷、安全、高效、诚信、求实为宗旨，为新老客户服务,真正做到门到门的服务。本公司有多条线路，上海至东北、华北、江浙、上海、广东、广西、云、贵、川、西北等地。为了更好的服务于新老客户，我们继往开来，以高标准、严要求来提高员工的素质，同时凭借先进的交通设施，购成了一个和谐的物流环境，在打造一个崭新的物流企业。将用自己的双手托起属于生产商与商户之间的桥梁。使您的商品物流八方.实实在在做人,认认真真做事,是本公司全体员工的原则.真诚的信誉,实在的服务,才能永久赢得各界客户的好评,不论您现在与哪一家公司合作,只要您给我们一次机会,拨通任何一部业务电话,公司将免费为您咨询,到合同签订,本公司将以安全快捷的速度.优质的服务,专业人员上门提货,门对门服务."
上海腾农冷藏物流有限公司,"上海腾农冷藏物流有限公司，是一家专业从事低温冷藏,冷冻,恒温货物配送的物流企业，业务遍布全国各大中小城市，在低温物流方面有丰富的专业经验，配有高底温临时周转冷库，可提供温度（20℃~-25℃）满足不同货物升降温度要求，自有2吨~30吨各类冷藏保鲜车17部（上海牌照），是上海及少数用本公司自有车子从事长途运输的物流公司，每部车子配有GPS卫星定位系统及全程温度跟踪记录监控，让客户安枕无忧。本公司提供价优、安全、准点的门对门的服务，欢迎新老客户来电来涵或光临本公司！公司注册于上海，网络覆盖全国。主营业务为：冷冻、冷藏以及恒温货物的全国长途运输、区域配送以及货物储藏、拆零业务。为了适应市场的发展和满足顾客的需求，公司设立了总经理室、物流操作中心（信息处理组、车队、仓储部以及调度科）、营销部（市场部、销售部以网站服务部）、营业所管理部（主管外省市营业所业务）以及财务部等贴近市场的公司组织架构。目前，深圳及北京营业所已正式营业，而且业务发展迅速。今年还将在武汉、大连以及成都建立营业所，继续加快营业网点的建设，最终要在全国形成冷藏物流网。腾农公司把创造物流服务产品，实现顾客价值增值作为企业宗旨，按市场拓展，物流为先的原则，与我们的顾客紧密协作共同识别和清除物流过程中的障碍，从而帮助顾客实现和控制目标市场。为了使顾客的物流成本、速度和一致性得到有效的满足，腾农公司设计和提供了多种柔性的物流产品及其服务，并会和我们的伙伴一起讨论和改善其服务产品的能力，通过综合的整合物流创造顾客竞争优势。零库存的顾客目标和我们零缺陷的服务目标，将在我们的合作中实现。保障您的恒温供应链物流，这是我们的使命，我们将全力以赴。业务热线:021-62847962021-62504995021-62847428021-26983286免费热线：4008883286http://www.shtnlc.comhttp://www.tengnong56.com"
上海追风物流有限公司,上海追风物流有限公司是一家集零担快运、物流配送、车辆挂靠为一体的专业货运公司。是经交通局、工商局、税务局等部门批准的合法运输企业。公司自备车队及专业吊装设备，为广大客户提供专业化、大规模、全方位的三方物流服务。公司技术力量雄厚，具有多名高级物流师，可为各类企业设计专业的物流方案。公司全体员工深知广大新老客户的理解与重托，更理解不仅是合作更是共赢与发展，公司愿与您共同努力创造未来的宏伟大业，成为您永久的真诚朋友！上海追风物流有限公司以开拓的思路、超前的意识，塑造崭新的形象，用实践中探索出来的管理制度和工作程序为各类企业提供优质高效的服务。当您选择了上海追风物流有限公司，我们将以最真诚的服务来回赠您对我们的选择，坚持诚信为本、高效、优质、安全的流程化管理和服务。我们将本着“至诚之信、精益求精”的经营理念，以客户为中心，以诚信为准则，以满意为宗旨，与客户携手共进，合作双赢，共创美好的明天！经营理念：诚信科学安全便捷发展理念：求实创新互利共赢服务宗旨：至诚至信精益求精
上海佐恩物流有限公司,上海佐恩物流有限公司，承接上海至全国各地及回程货物运输服务。公司与全国几十个大中小城市货运公司建立了网络业务联系，并提供电话跟踪查询，准确定位货物行踪信息，全方位服务，全过程跟踪为客服提供高效，快捷，完善的优质服务。
上海卡行天下供应链管理有限公司,卡行天下是一家由多位行业领袖投资的创新型的供应链管理公司，公司致力于以公路枢纽港为基础，通过标准化、信息化、产品化实现公路运输的集约化整合。打造中国最快、最稳、最透明的公路运输网络，为物流需求者提供标准化的、可视化的、高性价比的运输服务产品
上海正广通供应链管理有限公司,上海正广通供应链管理有限公司是经市政府、工商局、税务局联合批准成立的一家专业性物流公司，有着丰富的物流实际操作经验、完善的监督机制及规章制度，实现了管理化、服务化、规范化、信息化目标，目前，公司拥有一支专业化的物流管理和从业人员队伍，并拥有数目庞大的运输车队，车源丰富。公司秉承“诚信为本、价优高效”的经营理念，提倡“以客为尊”的服务宗旨，贯彻“专业化人才、专业化服务、学习型团队企业”的管理思想，创建一流的中国物流企业。公司将继续不断的提升服务质量、强化服务功能，为广大新老客户提供最优质的货物运输方案。服务规范:优良的货运服务讲求速度，准确及专业的服务知识。经过坚持不懈的努力，我司已备有成为一流物流公司的先决条件。同时与业内其它公司保持紧密及良好的业务关系获得他们的支持，保证提供充足的货物装载位置托运货物，我公司的专业员工将以快捷有效的方案完成顾客所托货物安全准时运抵目的地。
